new_index,s_time,e_time,delta_time,old_index
0,24900,27674,0,13
1,25200,29327,0,4
2,25200,29183,0,7
3,25200,27609,0,10
4,25200,27635,0,9
5,25200,28673,0,2
6,25200,28083,0,28
7,25200,28233,0,6
8,25200,28884,0,16
9,25200,28146,0,14
10,25200,27707,0,19
11,25200,28800,0,34
12,25200,28830,0,33
13,25200,29107,0,15
14,25740,28247,540,19
15,26100,30083,900,7
16,26280,28787,1080,19
17,26400,29873,1200,2
18,26400,29346,1200,14
19,26400,30527,1200,4
20,26700,29474,1800,13
21,26820,29327,1620,19
22,27000,30684,1800,16
23,27000,30907,1800,15
24,27000,30983,1800,7
25,27360,29867,2160,19
26,27600,30546,2400,14
27,27600,31727,2400,4
28,27600,31073,2400,2
29,27900,30407,2700,19
30,27900,30674,3000,13
31,27900,31883,2700,7
32,28440,30947,3240,19
33,28800,31833,3600,6
34,28800,32273,3600,2
35,28800,31683,3600,28
36,28800,31235,3600,9
37,28800,32927,3600,4
38,28800,31209,3600,10
39,28800,32430,3600,33
40,28800,32484,3600,16
41,28800,32783,3600,7
42,28800,32400,3600,34
43,28800,31746,3600,14
44,28800,32707,3600,15
45,28980,31487,3780,19
46,29100,31874,4200,13
47,29520,32027,4320,19
48,29700,33683,4500,7
49,30000,33473,4800,2
50,30000,32946,4800,14
51,30000,34127,4800,4
52,30060,32567,4860,19
53,30300,33074,5400,13
54,30600,33107,5400,19
55,30600,34284,5400,16
56,30600,34507,5400,15
57,30600,34583,5400,7
58,31140,33647,5940,19
59,31200,34673,6000,2
60,31200,35327,6000,4
61,31200,34146,6000,14
62,31500,34274,6600,13
63,31500,35483,6300,7
64,31680,34187,6480,19
65,32220,34727,7020,19
66,32400,36242,7200,15
67,32400,36383,7200,7
68,32400,36084,7200,16
69,32400,36000,7200,34
70,32400,36030,7200,33
71,32400,34809,7200,10
72,32400,36527,7200,4
73,32400,35346,7200,14
74,32400,33597,0,24
75,32400,35433,7200,6
76,32400,35581,7200,2
77,32400,33656,0,25
78,32400,34835,7200,9
79,32400,35283,7200,28
80,32700,35474,7800,13
81,32760,35267,7560,19
82,33300,37283,8100,7
83,33300,35807,8100,19
84,33600,36781,8400,2
85,33600,37727,8400,4
86,33840,36347,8640,19
87,34200,38042,9000,15
88,34200,37146,9000,14
89,34200,38183,9000,7
90,34200,37884,9000,16
91,34380,36887,9180,19
92,34500,37274,9600,13
93,34800,38927,9600,4
94,34800,37981,9600,2
95,34920,37427,9720,19
96,35100,39083,9900,7
97,35460,37967,10260,19
98,36000,38409,10800,10
99,36000,39842,10800,15
100,36000,38507,10800,19
101,36000,39630,10800,33
102,36000,37197,3600,24
103,36000,37256,3600,25
104,36000,38883,10800,28
105,36000,39033,10800,6
106,36000,38435,10800,9
107,36000,39983,10800,7
108,36000,39684,10800,16
109,36000,38946,10800,14
110,36000,40127,10800,4
111,36000,39600,10800,34
112,36000,39181,10800,2
113,36300,39074,11400,13
114,36540,39047,11340,19
115,36900,40883,11700,7
116,37080,39587,11880,19
117,37200,40381,12000,2
118,37200,41327,12000,4
119,37620,40127,12420,19
120,37800,40746,12600,14
121,37800,41642,12600,15
122,37800,41783,12600,7
123,37800,41484,12600,16
124,38100,40874,13200,13
125,38160,40667,12960,19
126,38400,41581,13200,2
127,38400,42527,13200,4
128,38700,41207,13500,19
129,38700,42683,13500,7
130,39240,41747,14040,19
131,39600,43727,14400,4
132,39600,40856,7200,25
133,39600,42009,14400,10
134,39600,42546,14400,14
135,39600,43284,14400,16
136,39600,42633,14400,6
137,39600,43583,14400,7
138,39600,42483,14400,28
139,39600,42781,14400,2
140,39600,43200,14400,34
141,39600,42035,14400,9
142,39600,43230,14400,33
143,39600,40797,7200,24
144,39600,43442,14400,15
145,39780,42287,14580,19
146,39900,42674,15000,13
147,40320,42827,15120,19
148,40500,44483,15300,7
149,40800,44927,15600,4
150,40800,43981,15600,2
151,40860,43367,15660,19
152,41400,45084,16200,16
153,41400,44346,16200,14
154,41400,45242,16200,15
155,41400,45383,16200,7
156,41400,43907,16200,19
157,41700,44474,16800,13
158,41940,44447,16740,19
159,42000,45181,16800,2
