new_index,s_time,e_time,delta_time,old_index
0,0,5464,0,1217
1,0,1355,0,1614
2,0,2518,0,1589
3,0,1818,0,2436
4,0,1425,0,1615
5,0,3194,0,1144
6,0,2085,0,2435
7,0,4102,0,1383
8,60,5231,0,1391
9,60,4734,0,933
10,60,1600,0,1793
11,60,4696,0,932
12,60,3813,0,1557
13,120,4063,0,1556
14,120,5261,0,1431
15,360,2074,0,1792
16,480,2723,0,2259
17,720,5038,0,1753
18,900,6364,900,1217
19,900,6071,840,1391
20,1200,4968,0,1122
21,1200,5837,0,691
22,1200,3357,0,2356
23,1380,5893,0,692
24,1800,6971,1740,1391
25,1800,6474,1740,933
26,1800,3340,1740,1793
27,1800,5743,1680,1556
28,1800,4318,1800,1589
29,1800,6118,0,1752
30,1800,6941,1680,1431
31,1800,3618,1800,2436
32,1800,7264,1800,1217
33,1800,3885,1800,2435
34,1860,5613,1800,1557
35,1860,6496,1800,932
36,2160,3874,1800,1792
37,3000,5754,0,1590
38,3540,7308,2340,1122
39,3600,7785,0,1123
40,3600,7543,3480,1556
41,3600,8236,3540,932
42,3600,7353,3540,1557
43,3600,7138,0,1428
44,3600,8113,2220,692
45,3600,8741,3480,1431
46,3960,5674,3600,1792
47,5400,8154,2400,1590
48,5400,9718,3600,1752
49,5700,10018,4980,1753
50,7200,8555,7200,1614
51,7200,8625,7200,1615
52,9000,13318,7200,1752
53,9540,13858,8820,1753
54,12660,16978,11940,1753
55,13200,17518,11400,1752
56,14400,15755,14400,1614
57,14400,15825,14400,1615
58,16800,21118,15000,1752
59,16980,21298,16260,1753
60,18000,22318,16200,1752
61,19200,24794,0,1779
62,19800,21922,0,1094
63,19800,24989,0,2233
64,19800,25785,0,1459
65,19860,25454,660,1779
66,19860,23686,0,2089
67,20400,25105,0,707
68,20400,24929,0,358
69,20400,24774,0,759
70,20400,25144,0,706
71,20400,24515,0,999
72,20400,25144,0,706
73,20400,25414,0,1576
74,20460,24066,0,1000
75,20520,24838,19800,1753
76,20640,26234,1440,1779
77,20640,26625,840,1459
78,20760,27027,0,1625
79,20760,26675,0,1624
80,20760,24523,0,1527
81,21000,25529,600,358
82,21000,25594,0,474
83,21000,26088,0,451
84,21000,22742,0,1129
85,21000,26990,0,1011
86,21000,23855,0,1469
87,21000,26541,0,72
88,21000,22651,0,458
89,21000,24425,0,311
