new_index,s_time,e_time,delta_time,old_index
0,16800,19658,0,22
1,17820,20678,1020,22
2,18600,22985,0,2
3,19200,23585,600,2
4,19200,21263,0,32
5,19200,22058,2400,22
6,19500,21563,300,32
7,19500,22618,0,23
8,19800,23047,0,37
9,19800,23322,0,0
10,19800,24451,0,3
11,19800,22918,300,23
12,19920,24305,1320,2
13,20160,22223,960,32
14,20160,23278,660,23
15,20400,23258,3600,22
16,20400,23152,0,1
17,20400,23099,0,83
18,20400,23600,0,82
19,20400,23099,0,83
20,20460,22188,0,57
21,20460,23982,660,0
22,20580,25231,780,3
23,20580,22643,1380,32
24,20640,23758,1140,23
25,20640,25025,2040,2
26,20700,23947,900,37
27,20700,24217,0,12
28,20820,24020,420,82
29,20880,23579,480,83
30,21000,24696,0,13
31,21000,22728,540,57
32,21000,25828,0,65
33,21000,23769,0,31
34,21000,24256,0,7
35,21000,25448,0,58
36,21000,24256,0,7
37,21000,25264,0,8
38,21000,24011,0,6
39,21060,25819,0,59
40,21060,24178,1560,23
41,21060,24577,360,12
42,21180,25628,180,58
43,21240,23936,0,19
44,21240,23871,0,30
45,21240,24155,0,38
46,21240,23303,2040,32
47,21300,24500,900,82
48,21360,24059,960,83
49,21360,24607,1560,37
50,21360,24633,0,69
51,21360,26011,1560,3
52,21360,25745,2760,2
53,21360,26119,300,59
54,21360,24882,1560,0
55,21360,24633,0,69
56,21420,24937,720,12
57,21420,24172,1020,1
58,21540,24671,0,100
59,21540,24658,2040,23
60,21600,25239,0,96
61,21600,22751,0,43
62,21600,24449,0,54
63,21600,26428,600,65
64,21600,23339,0,92
65,21600,24682,0,17
66,21600,22024,0,79
67,21600,25423,0,15
68,21600,26282,0,64
69,21600,26845,0,35
70,21600,24196,0,53
71,21600,22024,0,79
72,21600,25864,600,8
73,21600,23827,0,45
74,21600,24611,600,6
75,21600,25859,0,9
76,21600,24856,600,7
77,21600,22826,0,93
78,21600,22021,0,78
79,21600,23709,0,66
80,21600,23643,0,89
81,21600,24603,0,98
82,21600,23692,0,88
83,21600,24866,0,99
84,21600,24839,0,95
85,21600,24958,0,68
86,21600,24152,0,52
87,21600,22638,0,74
88,21600,26639,0,34
89,21600,24761,0,94
90,21600,25714,0,71
91,21600,24642,0,67
92,21600,24296,360,19
93,21600,25656,0,14
94,21600,25735,0,70
95,21600,23364,0,104
96,21600,24734,0,51
97,21600,25247,0,16
98,21600,24652,0,50
99,21600,24626,0,101
100,21600,24259,0,26
101,21600,23000,0,85
102,21660,24702,60,67
103,21660,23388,1200,57
104,21660,23775,0,33
105,21660,24117,0,39
106,21720,27022,0,5
107,21720,24920,1320,82
108,21720,27248,0,4
109,21720,25416,720,13
110,21780,24980,1380,82
111,21780,25053,420,69
112,21780,25723,0,36
113,21780,25297,1080,12
114,21780,25479,0,97
115,21780,24549,780,31
116,21780,23843,2580,32
117,21840,24539,1440,83
118,21840,24882,240,67
119,21900,24815,660,38
120,21900,25147,2100,37
121,21900,24531,660,30
122,21900,23349,0,84
123,21900,24758,5100,22
124,21900,25258,300,68
125,21960,26719,900,59
126,21960,25078,2460,23
127,21960,24069,360,66
128,22020,24869,420,54
129,22020,24477,360,39
130,22020,23200,0,75
131,22080,24632,480,52
132,22080,24172,480,88
133,22080,23480,480,85
134,22080,26465,3480,2
135,22080,24123,480,89
136,22140,25787,540,16
137,22140,23868,1680,57
138,22140,25301,540,94
139,22140,24736,540,53
140,22140,25041,0,55
141,22140,27385,540,35
142,22140,23178,540,74
143,22140,25396,1140,7
144,22140,25657,1440,12
145,22200,26059,0,28
146,22200,24025,0,81
147,22200,26143,420,36
148,22200,25456,1200,7
149,22200,26851,2400,3
150,22200,25473,840,69
151,22200,25063,0,20
152,22200,25722,2400,0
153,22200,26648,1200,58
154,22200,26314,600,71
155,22200,27239,600,34
156,22200,25331,660,100
157,22200,27042,0,63
158,22200,26274,0,62
159,22200,25211,1200,6
160,22260,24956,0,21
161,22260,25618,660,68
162,22260,24323,3060,32
163,22260,26519,660,9
164,22320,24033,0,41
165,22320,25567,2520,37
166,22320,25559,720,95
167,22320,25402,720,17
168,22320,25019,1920,83
169,22380,24837,720,39
170,22380,25580,1980,82
171,22380,25295,1140,38
172,22380,26239,180,28
173,22380,24489,780,66
174,22380,25076,1140,19
175,22380,25039,780,26
176,22440,27968,720,4
177,22440,23620,420,75
178,22440,27742,720,5
179,22440,26704,1440,8
180,22440,24555,780,33
181,22440,25192,2040,1
182,22500,22921,900,78
183,22500,26759,900,9
184,22500,25631,960,100
185,22500,26199,720,97
186,22500,25526,900,101
187,22500,24727,900,45
188,22500,22924,900,79
189,22500,26196,1500,13
190,22560,26503,780,36
191,22560,24603,960,89
192,22560,25602,960,67
