new_index,s_time,e_time,delta_time,old_index
0,19800,22942,0,114
1,20100,20550,0,48
2,20100,20560,0,49
3,20100,20658,0,47
4,20100,20673,0,46
5,20100,23515,0,157
6,21000,23516,0,72
7,21600,24402,0,41
8,21600,24736,0,40
9,21600,25018,0,39
10,21600,23831,0,45
11,21600,23437,0,44
12,21600,24500,0,3
13,21600,24404,0,2
14,22560,23133,2460,46
15,22560,23020,2460,49
16,22560,23010,2460,48
17,22560,25975,2460,157
18,22560,23118,2460,47
19,22800,26226,0,38
20,22800,25759,0,113
21,23100,25820,0,81
22,23100,25662,0,82
23,23100,26857,0,74
24,23400,26372,0,61
25,23400,27040,0,96
26,23400,26882,0,95
27,23400,26120,300,81
28,23400,26664,0,103
29,23400,25924,0,101
30,23400,25893,0,102
31,23400,25861,0,150
32,23400,25861,0,149
33,23400,25734,0,42
34,23400,25206,0,37
35,23400,26439,0,43
36,23400,27908,0,24
37,23400,26842,0,98
38,23400,26669,0,75
39,23400,27704,0,25
40,23400,26774,0,60
41,23400,26664,0,97
42,23400,28221,0,78
43,23400,24830,0,112
44,23400,28050,0,77
45,23400,24828,0,111
46,23400,24393,0,68
47,23400,25147,0,36
48,23400,26926,0,80
49,23400,24569,0,67
50,23400,28425,0,69
51,23400,27559,0,106
52,23400,25633,0,17
53,23400,27109,0,110
54,23400,25721,0,16
55,23400,24453,0,92
56,23400,24464,0,91
57,23400,26177,0,59
58,23400,26096,0,35
59,23400,25550,0,34
60,23400,24734,0,94
61,23400,27541,0,13
62,23400,27344,0,117
63,23400,27320,0,118
64,23400,26536,0,160
65,23400,26497,0,159
66,23400,25601,0,105
67,23400,27737,0,119
68,23400,26252,0,8
69,23400,26067,0,9
70,23400,25519,0,6
71,23400,26403,0,32
72,23400,25597,0,7
73,23400,26644,0,33
74,23400,26155,0,4
75,23400,25814,0,5
76,23400,26951,0,76
77,23400,26137,0,83
78,23400,25811,0,65
79,23400,26263,0,14
80,23400,26733,0,15
81,23400,25809,0,66
82,23400,27695,0,120
83,23400,25632,0,84
84,23400,27036,0,109
85,23400,28712,0,70
86,23400,26620,0,158
87,23460,25976,2460,72
88,23460,26779,0,104
89,23520,26240,420,81
90,23520,26904,0,79
91,23700,26957,0,27
92,23820,27529,420,110
93,23820,26141,420,16
94,23820,27456,420,109
95,23820,26053,420,17
96,23880,26030,480,34
97,23880,26919,480,43
98,23880,27322,480,98
99,23880,26291,480,65
100,23880,28184,480,25
101,23880,26576,480,35
102,23880,26214,480,42
103,23940,27422,540,95
104,23940,27204,540,103
105,23940,27273,540,15
106,23940,26349,540,66
107,23940,27259,480,104
108,23940,26502,840,82
109,23940,27204,540,97
110,23940,27314,540,60
111,23940,26912,540,61
112,23940,25004,540,91
113,24000,24739,0,21
114,24000,25075,0,51
115,24000,25747,0,135
116,24000,25302,0,163
117,24000,25732,0,147
118,24000,25277,0,90
119,24000,27308,0,53
120,24000,25276,0,156
121,24000,25997,0,153
122,24000,27866,0,85
123,24000,25507,0,141
124,24000,25134,0,50
125,24000,25848,0,151
126,24000,25275,0,155
127,24000,25298,0,89
128,24000,25903,0,144
129,24000,24811,0,20
130,24000,25438,0,128
131,24000,26211,0,148
132,24000,28759,0,12
133,24000,28111,0,26
134,24000,25720,0,136
135,24000,27483,0,107
136,24000,27674,0,108
137,24000,26821,0,63
138,24000,25053,600,92
139,24000,25793,0,138
140,24000,26198,0,133
141,24000,25038,0,22
142,24000,26317,0,129
143,24000,26177,0,132
144,24000,26704,0,62
145,24000,26931,0,130
146,24000,27097,600,159
147,24000,25996,0,127
148,24000,27526,600,80
149,24000,25723,0,154
150,24000,26439,0,131
151,24000,26456,0,140
152,24000,25784,0,152
153,24000,27529,0,146
154,24000,25906,0,143
155,24000,25500,0,142
156,24000,26606,0,71
157,24000,25345,0,164
158,24000,24571,0,55
159,24000,24538,0,54
160,24000,24966,0,23
161,24060,27196,2460,40
162,24060,26864,2460,2
163,24060,25897,2460,44
164,24060,26960,2460,3
165,24060,27478,2460,39
166,24060,28568,660,24
167,24060,26862,2460,41
168,24060,26291,2460,45
169,24120,26983,720,14
170,24120,27760,720,96
171,24240,26802,1140,82
172,24300,28009,900,110
173,24300,27684,780,79
174,24300,28604,900,25
175,24300,27020,1200,81
176,24300,26621,900,16
177,24360,27996,960,109
178,24360,26593,960,17
179,24420,27392,1020,61
180,24420,26570,1020,34
181,24420,26754,1020,42
182,24420,27684,1020,103
183,24420,26831,1020,65
184,24420,27862,1020,98
185,24420,27684,1020,97
186,24420,27116,1020,35
187,24420,27459,1020,43
188,24480,27813,1080,15
189,24480,27962,1080,95
190,24480,29130,1080,77
191,24480,27799,1020,104
192,24480,25544,1080,91
