new_index,s_time,e_time,delta_time,old_index
0,20400,23801,0,180
1,20400,23448,0,181
2,21000,23143,0,194
3,21000,23838,0,195
4,21000,24514,0,235
5,21600,23436,0,193
6,21600,27490,0,294
7,21600,27161,0,295
8,21600,24817,0,166
9,21600,24302,0,27
10,21600,26092,0,296
11,21600,23341,0,192
12,21600,25110,0,187
13,21600,24416,0,288
14,21600,22623,0,205
15,21600,23797,0,204
16,21600,24105,0,289
17,21660,25020,0,292
18,21660,25421,0,293
19,21660,24532,0,236
20,21660,25157,0,237
21,21660,25168,0,214
22,21660,25127,0,215
23,21720,24331,0,24
24,21720,24492,0,25
25,22080,23103,480,205
26,22080,24277,480,204
27,22200,24782,0,314
28,22200,24971,0,346
29,22200,24516,0,216
30,22200,25084,0,167
31,22200,25605,0,148
32,22200,25821,0,99
33,22200,24568,0,211
34,22200,24610,0,210
35,22200,25617,0,100
36,22200,24321,0,62
37,22200,25487,0,147
38,22200,24710,0,315
39,22200,25951,0,328
40,22200,26127,0,330
41,22200,23951,0,329
42,22200,25900,0,331
43,22320,25817,660,237
44,22320,24636,120,216
45,22320,24441,120,62
46,22320,25192,660,236
47,22380,24523,1380,194
48,22380,25218,1380,195
49,22500,25111,780,24
50,22500,25272,780,25
51,22560,24757,960,204
52,22560,24876,360,216
53,22560,23583,960,205
54,22560,24681,360,62
55,22620,26128,960,214
56,22620,26087,960,215
57,22740,26027,540,147
58,22740,25959,0,174
59,22740,26145,540,148
60,22800,24574,0,155
61,22800,24977,0,231
62,22800,24692,0,149
63,22800,24777,0,154
64,22800,24728,0,160
65,22800,24870,0,213
66,22800,25170,0,77
67,22800,27826,0,8
68,22800,25466,0,239
69,22800,27690,0,9
70,22800,27146,0,6
71,22800,26928,0,7
72,22800,25075,0,287
73,22800,26009,0,286
74,22800,25397,0,103
75,22800,25145,0,309
76,22800,25096,0,308
77,22800,25345,0,104
78,22800,26616,0,283
79,22800,25325,0,238
80,22800,24713,0,150
81,22800,26500,600,331
82,22800,25876,0,157
83,22800,24777,0,76
84,22800,27228,0,325
85,22800,25480,0,85
86,22800,27028,0,324
87,22800,25754,0,26
88,22800,31030,0,333
89,22800,31171,0,332
90,22800,26497,0,274
