new_index,s_time,e_time,delta_time,old_index
0,18000,22251,0,13
1,18000,20866,0,12
2,19200,22512,0,4
3,19800,21279,0,65
4,19800,21264,0,66
5,19800,23785,0,0
6,19800,23155,0,15
7,19800,23947,0,1
8,20400,24390,0,3
9,20400,21894,0,58
10,20880,23746,2880,12
11,20880,25131,2880,13
12,20880,24235,1080,15
13,21000,26066,0,48
14,21000,21981,0,19
15,21000,21957,0,68
16,21000,23308,0,60
17,21000,26931,0,47
18,21120,22136,0,64
19,21360,27291,360,47
20,21420,26486,420,48
21,21600,24056,0,49
22,21600,22626,0,114
23,21600,26497,0,84
24,21600,26271,0,83
25,21600,22344,0,32
26,21600,23652,0,179
27,21600,22731,0,22
28,21600,24094,0,120
29,21600,24069,0,121
30,21660,26557,60,84
31,21840,26511,240,83
32,21900,27831,900,47
33,21900,26966,900,48
34,21900,26047,2100,1
35,21900,25885,2100,0
36,21960,26857,360,84
37,22020,24328,1020,60
38,22140,24634,540,120
39,22140,24609,540,121
40,22140,25495,2340,15
41,22200,23163,0,67
42,22200,24656,600,49
43,22260,26931,660,83
44,22260,28191,1260,47
45,22260,27157,660,84
46,22320,27386,1320,48
47,22500,23249,0,31
48,22500,23120,0,23
49,22620,27291,1020,83
50,22680,24144,2880,66
51,22680,25174,1080,120
52,22680,24159,2880,65
53,22740,25209,1140,121
54,22740,25196,1140,49
55,22800,25318,0,41
56,22800,23814,0,36
57,22800,25131,0,136
58,22800,23587,0,143
59,22800,25843,0,74
60,22800,24190,0,113
61,22800,25052,0,140
62,22800,24711,0,183
63,22800,24480,0,184
64,22800,23539,0,62
65,22800,25547,0,151
66,22800,24284,0,142
67,22800,25406,0,38
68,22800,23585,0,115
69,22800,25130,0,135
70,22800,25120,0,139
71,22800,26126,0,42
72,22800,24188,0,111
73,22800,28731,1800,47
74,22800,24840,0,53
75,22800,25052,0,141
76,22800,25705,0,28
77,22860,24912,1260,179
78,22860,24580,0,112
79,22860,24247,0,57
80,22860,26711,0,85
81,22860,27757,1260,84
82,22860,24985,0,178
83,22920,26876,0,14
84,22920,27591,1320,83
85,22980,28046,1980,48
86,23040,25370,240,135
87,23040,26351,0,97
88,23040,25371,240,136
89,23100,25159,0,54
90,23160,25468,2160,60
91,23220,29151,2220,47
92,23220,24608,420,111
93,23220,25689,1620,121
94,23220,26575,3420,15
95,23220,25738,420,41
96,23280,27951,1680,83
97,23280,25339,180,54
98,23280,26606,480,42
99,23280,25320,480,53
100,23280,25774,1680,120
101,23340,24127,540,143
102,23340,28237,1740,84
103,23340,26245,540,28
104,23340,27924,0,88
105,23340,25671,540,136
106,23340,24824,540,142
107,23400,25316,0,107
108,23400,25204,0,133
109,23400,25828,0,134
110,23400,27510,0,149
111,23400,24638,0,45
112,23400,24911,0,108
113,23400,24864,0,29
114,23400,24295,0,125
115,23400,26773,0,91
116,23400,26546,0,92
117,23400,25478,0,46
118,23400,26291,0,181
119,23400,24604,0,119
120,23400,24392,0,109
121,23400,28466,2400,48
122,23400,27979,0,87
123,23400,24362,0,118
124,23400,26991,0,128
125,23400,25106,0,177
126,23400,27472,0,129
127,23400,25409,0,98
128,23400,24752,0,176
129,23460,27151,0,94
130,23460,25790,660,135
131,23460,25028,0,170
132,23460,24224,0,123
133,23460,26337,0,152
134,23460,25223,0,171
135,23520,25240,660,112
136,23520,24978,0,30
137,23520,26831,480,97
138,23520,24534,720,36
139,23520,25976,1920,49
140,23580,25639,480,54
141,23580,27652,180,129
142,23580,25620,780,53
143,23640,24656,2520,64
144,23640,27419,0,180
145,23640,26387,840,151
146,23640,28311,2040,83
147,23700,26256,0,21
148,23700,24400,0,173
149,23700,26218,900,41
150,23700,28597,2100,84
151,23700,25052,300,176
152,23700,26224,0,86
153,23700,24383,0,172
154,23700,26001,0,106
155,23760,27351,360,128
156,23760,27451,300,94
157,23760,26091,960,136
158,23760,26626,5760,12
159,23760,25148,960,111
160,23760,28011,5760,13
161,23760,25271,360,108
162,23760,28344,420,88
163,23760,29691,2760,47
164,23760,25800,960,53
165,23820,25024,420,119
166,23820,24543,0,72
167,23820,25304,1020,142
168,23820,26244,0,105
169,23820,25624,420,133
170,23820,26966,420,92
171,23820,25879,720,54
172,23880,26035,0,39
173,23880,25889,480,98
174,23880,25586,480,177
175,23880,26771,480,181
176,23880,25877,0,59
177,23880,24837,2880,68
178,23880,25391,480,108
179,23940,26845,1140,28
180,23940,28611,2340,83
181,23940,27251,900,97
182,23940,28050,540,149
183,23940,25703,480,171
184,23940,24727,1140,143
185,23940,28519,540,87
186,23940,26270,1140,135
187,23940,28012,540,129
188,23940,25856,540,107
189,24000,27553,0,90
190,24000,27985,4200,0
191,24000,27002,0,73
192,24000,24962,600,118
193,24000,25672,0,55
194,24000,25606,0,34
195,24000,25204,600,119
196,24000,25255,0,126
197,24000,26494,2400,120
198,24000,24728,0,17
199,24000,24746,0,16
200,24000,25886,0,33
201,24000,29066,3000,48
202,24000,26346,0,95
203,24000,28147,4200,1
204,24000,28088,0,148
205,24000,27326,1200,42
206,24000,26606,1200,38
207,24000,26187,0,96
208,24060,25041,3060,19
209,24060,28644,720,88
210,24060,26722,0,132
211,24060,26299,0,50
212,24060,26516,2460,49
213,24060,28639,660,87
214,24060,26578,1260,41
215,24060,24689,0,61
216,24060,27123,0,93
217,24120,26245,1260,178
218,24120,29017,2520,84
219,24120,26451,1320,136
220,24180,25568,1380,111
221,24240,27831,840,128
222,24240,28669,0,5
223,24240,28312,840,129
224,24240,26664,420,105
225,24240,27613,840,91
226,24240,26249,840,98
227,24240,27386,840,92
228,24240,27283,1440,74
229,24240,26280,1440,53
230,24240,26292,2640,179
231,24300,26300,0,6
232,24300,26608,3300,60
233,24300,26020,1440,112
234,24300,25596,0,7
235,24360,25255,0,124
236,24360,25712,960,176
237,24360,25564,960,119
238,24360,25305,0,37
239,24360,28448,360,148
240,24360,25374,1560,36
241,24360,25439,0,35
242,24360,26690,1560,135
243,24360,28470,960,149
244,24420,25931,1020,108
245,24420,25904,1620,142
246,24420,26336,1020,107
247,24420,25382,1020,118
248,24420,26751,1620,136
249,24480,26186,1080,177
250,24480,28259,840,180
251,24480,26539,1380,54
252,24480,25506,2880,114
253,24480,26520,1680,53
254,24480,29546,3480,48
255,24480,25611,2880,22
256,24480,30411,3480,47
257,24480,25224,2880,32
258,24480,29377,2880,84
259,24480,26998,1680,41
260,24540,28391,1680,85
261,24540,27895,4740,15
262,24540,26695,660,39
263,24540,27034,2940,120
264,24540,25507,0,70
265,24540,27445,1740,28
266,24540,27064,840,86
267,24600,26003,0,81
268,24600,26363,1140,171
269,24600,26168,1140,170
270,24600,27926,1800,42
271,24600,27056,3000,49
272,24600,27911,1560,97
273,24600,26021,0,82
274,24600,26609,1200,98
275,24600,26864,0,40
276,24600,25361,0,122
277,24600,25387,1800,143
278,24600,27746,1200,92
279,24600,25590,0,157
280,24600,26256,0,182
281,24600,25584,0,158
282,24600,27156,900,21
283,24600,25739,0,26
284,24600,25698,0,27
285,24600,29271,3000,83
286,24600,27262,540,132
287,24600,25939,0,161
288,24600,28649,0,2
289,24600,28672,1200,129
290,24660,27166,0,131
291,24660,29239,1260,87
292,24660,26700,1860,53
293,24720,25682,1320,118
294,24720,28311,1320,128
295,24720,26717,840,59
296,24720,25734,1920,36
297,24720,28808,720,148
298,24720,25443,0,71
299,24720,26524,1320,133
300,24780,26666,780,33
301,24780,29364,1440,88
302,24780,28890,1380,149
303,24840,26044,1440,119
304,24840,27170,2040,135
305,24840,25867,0,63
306,24900,27963,840,93
307,24900,25687,2100,143
308,24900,27791,1500,181
309,24900,26816,1500,107
310,24900,29797,3300,84
311,24900,26252,1500,176
312,24900,27562,840,132
313,24900,27418,2100,41
314,24900,29479,1500,87
315,24960,26471,1560,108
316,24960,26566,960,34
317,24960,26444,2160,142
318,24960,29032,1560,129
319,24960,26680,2100,112
320,25020,28976,2100,14
321,25020,26948,0,56
322,25020,30951,4020,47
323,25020,28799,1380,180
324,25080,29751,3480,83
325,25080,25819,2280,62
326,25080,27089,1680,98
327,25080,29977,3480,84
328,25080,29168,1080,148
329,25080,28453,1680,91
330,25080,27985,2280,28
331,25080,27827,2280,151
332,25080,26043,2880,67
333,25140,28183,2340,74
334,25140,26154,2340,36
335,25140,26219,780,35
336,25140,26085,780,37
337,25140,28991,2280,85
338,25140,27180,2340,53
339,25140,28466,2340,42
340,25140,29250,1740,149
341,25140,27634,3540,120
342,25200,27574,1140,50
343,25200,26729,0,127
344,25200,26360,0,145
345,25200,26439,0,144
346,25200,27768,2400,135
347,25200,25979,0,76
348,25200,28672,2160,97
349,25200,27334,2100,54
350,25200,26030,0,166
351,25200,26982,0,103
352,25200,26872,1200,55
353,25200,27174,0,104
354,25200,26906,1800,177
355,25200,26636,0,80
356,25200,26963,1740,171
357,25200,25961,0,156
358,25200,26031,0,167
359,25200,26558,0,79
360,25200,25946,0,155
361,25260,26648,2460,111
362,25260,28071,4260,60
363,25260,28730,1860,92
364,25260,26222,1860,118
365,25260,30193,3660,84
366,25260,26911,1860,176
367,25320,27329,1920,98
368,25320,27838,2520,41
369,25320,28012,3720,121
370,25320,31002,4320,48
371,25380,30747,3780,83
372,25380,26129,2880,31
373,25380,29442,1980,128
374,25380,27804,1560,105
375,25380,28271,1980,181
376,25380,26011,2880,23
377,25380,28042,1320,132
378,25380,29733,1980,129
379,25380,26584,1980,119
380,25440,29767,1800,180
381,25440,30071,2040,87
382,25440,27700,2040,107
383,25440,28910,2040,92
384,25440,26951,2040,108
385,25440,27741,1740,106
386,25500,28024,1800,86
387,25500,26328,0,165
388,25500,27386,1500,33
389,25500,27151,2100,176
390,25500,26397,0,159
391,25500,28822,1440,93
392,25500,26303,0,160
393,25500,26448,0,164
394,25560,29239,2160,91
395,25560,30144,2220,88
396,25560,27891,2760,136
397,25560,27364,2160,133
398,25560,27679,2760,53
399,25560,26352,0,168
400,25560,26343,0,169
401,25560,28304,1860,21
402,25560,27192,5760,66
403,25560,27205,5760,65
404,25620,30020,2220,149
405,25620,29871,1620,148
406,25620,26681,2820,143
407,25620,28312,4020,121
408,25620,27754,2520,54
409,25620,27130,2820,142
410,25620,27340,2760,112
411,25620,27629,2220,98
412,25680,27070,2880,113
413,25680,28477,2880,140
414,25680,28248,2880,135
415,25680,28397,2880,139
416,25680,27591,2880,183
417,25680,27360,2880,184
418,25680,26682,2880,115
419,25680,29035,5880,15
420,25680,28342,1620,132
421,25680,30117,2820,85
422,25680,28477,2880,141
423,25680,26642,2280,118
424,25680,28082,2820,178
425,25680,27248,2220,170
426,25680,28104,1860,105
427,25680,30613,4080,84
428,25740,26475,1920,72
429,25740,27346,1740,34
430,25740,28638,4140,120
431,25740,28258,2940,41
432,25740,28860,2280,152
433,25740,28000,2340,107
434,25740,29212,2700,97
435,25740,26635,2340,125
436,25740,28645,2940,28
437,25740,26995,1740,126
438,25800,26276,0,44
439,25800,27563,2340,171
440,25800,26745,1440,37
441,25800,29126,3000,42
442,25800,26879,1440,35
443,25800,27451,2400,176
444,25800,26284,0,43
445,25800,31167,4200,83
446,25860,30213,2460,129
447,25860,27248,3060,111
448,25860,26874,3060,36
449,25860,30491,2460,87
450,25860,28751,2460,181
451,25860,30187,2220,180
452,25860,31791,4860,47
453,25920,26661,1200,71
454,25920,28221,2220,106
455,25920,28054,2820,54
456,25920,29390,2520,92
457,25980,27491,2580,108
458,25980,30380,2580,149
459,25980,26942,2580,118
460,25980,30231,1980,148
461,25980,27297,0,69
462,25980,30042,2580,128
463,26040,27760,3180,112
464,26040,27569,840,127
465,26040,28562,4440,49
466,26040,27608,2580,170
467,26040,28732,4440,121
468,26040,28049,2640,98
469,26040,28195,2160,39
470,26100,28219,3300,53
471,26100,29779,2700,91
472,26100,31033,4500,84
473,26100,27751,2700,176
474,26100,28431,3300,136
475,26100,27610,3300,142
476,26100,31467,4500,83
477,26100,28837,0,20
478,26100,26883,540,169
479,26100,26892,540,168
480,26100,27806,2700,177
481,26100,27304,2700,119
482,26160,30116,3240,14
483,26160,29280,2700,152
484,26160,28852,4560,121
485,26160,28584,2340,105
486,26160,27215,5040,64
487,26160,28989,3360,38
488,26160,28046,2160,33
489,26160,30513,2760,129
490,26160,27415,2160,126
491,26160,31842,5160,48
492,26220,29899,2820,91
493,26220,28217,2340,59
494,26220,29031,5220,60
495,26220,30804,2880,88
496,26220,28788,3420,135
497,26220,27281,3420,143
498,26220,28844,0,89
499,26220,28551,3420,136
500,26280,29185,3480,28
501,26280,28358,2880,46
502,26280,30680,2880,149
503,26280,28942,2220,132
504,26280,28708,2880,134
505,26280,29602,2220,93
506,26280,29398,2280,73
507,26280,28972,4680,121
508,26280,28249,2880,45
509,26280,28607,4680,179
510,26340,29238,4740,120
511,26340,29666,3540,42
512,26340,27688,2040,7
513,26340,29201,3540,151
514,26340,27302,2940,118
515,26400,29291,3000,181
516,26400,29062,2340,132
517,26400,30651,2400,148
518,26400,28543,0,77
519,26400,27164,2940,123
520,26400,28006,2400,34
521,26400,29870,3000,92
522,26400,28409,3000,98
523,26400,31031,3000,87
524,26400,27514,0,163
525,26400,27592,0,162
526,26400,29872,3360,97
527,26400,27911,3000,108
528,26400,27788,3600,111
529,26460,28834,2400,50
530,26460,30787,2820,180
531,26460,31827,4860,83
532,26460,27121,2400,61
533,26460,31393,4860,84
534,26520,30873,3120,129
535,26520,29038,3720,41
536,26520,32451,5520,47
537,26520,29044,2820,86
538,26520,28780,3120,107
539,26520,30582,3120,128
540,26520,28226,3120,177
541,26580,28038,3060,30
542,26580,28343,3120,171
543,26580,28714,3480,54
544,26580,29102,4980,49
545,26580,27784,3180,119
546,26580,28300,3720,112
547,26580,28231,3180,176
548,26640,30891,8640,13
549,26640,28208,3180,170
550,26640,28759,3840,53
551,26640,27602,3240,118
552,26640,28169,1440,127
553,26640,29684,8640,12
554,26640,29208,3840,135
555,26700,27714,3900,36
556,26700,29392,5100,121
