new_index,s_time,e_time,delta_time,old_index
0,19200,23508,0,72
1,19200,23894,0,32
2,19200,24327,0,31
3,20400,24891,0,71
4,21000,26127,1800,31
5,21000,25308,1800,72
6,21000,25694,1800,32
7,21600,21809,0,40
8,22200,22398,0,30
9,22200,26691,1800,71
10,22800,27108,3600,72
11,22800,27927,3600,31
12,22800,27494,3600,32
13,23400,25489,0,68
14,23400,25230,0,81
15,23400,23609,1800,40
16,23400,25432,0,67
17,24000,28491,3600,71
18,24300,24498,2100,30
19,24300,27161,0,37
20,24600,29294,5400,32
21,24600,29727,5400,31
22,24600,28908,5400,72
23,25200,27667,1800,68
24,25200,28515,0,36
25,25200,27062,0,59
26,25200,27338,0,60
27,25200,27476,0,62
28,25200,27204,0,61
29,25200,25409,3600,40
30,25200,27652,1800,67
31,25200,27030,1800,81
32,25800,27523,0,80
33,25800,30291,5400,71
34,26100,29407,1800,37
35,26400,28676,1200,62
36,26400,26609,4800,40
37,26400,28867,3000,68
38,26400,28852,3000,67
39,26400,28230,3000,81
40,26400,28404,1200,61
41,26400,31392,7200,32
42,26400,29715,1200,36
43,26400,31153,7200,72
44,26400,31976,7200,31
45,27000,31491,6600,71
46,27000,28723,1200,80
47,27300,30607,3000,37
48,27600,29430,4200,81
49,27600,32353,8400,72
50,27600,30915,2400,36
51,27600,29876,2400,62
52,27600,32592,8400,32
53,27600,29604,2400,61
54,27600,30052,4200,67
55,27600,30067,4200,68
56,27600,27809,6000,40
57,27600,33176,8400,31
58,27900,30038,2700,60
59,27900,29762,2700,59
60,28200,28838,0,10
61,28200,29923,2400,80
62,28200,32691,7800,71
63,28500,31807,4200,37
64,28800,29623,0,83
65,28800,29343,0,11
66,28800,33792,9600,32
67,28800,33553,9600,72
68,28800,34376,9600,31
69,28800,31252,5400,67
70,28800,30804,3600,61
71,28800,29009,7200,40
72,28800,31267,5400,68
73,28800,32115,3600,36
74,28800,31076,3600,62
75,28800,30630,5400,81
76,29400,33891,9000,71
77,29400,31123,3600,80
78,29400,30038,1200,10
79,29700,33007,5400,37
80,30000,34992,10800,32
81,30000,32004,4800,61
82,30000,34753,10800,72
83,30000,33315,4800,36
84,30000,31830,6600,81
85,30000,30209,8400,40
86,30000,32452,6600,67
87,30000,32467,6600,68
88,30000,35576,10800,31
89,30000,30543,1200,11
90,30000,30837,0,82
91,30000,32276,4800,62
92,30600,31238,2400,10
93,30600,32323,4800,80
94,30600,35091,10200,71
95,30900,34207,6600,37
96,31200,33652,7800,67
97,31200,33667,7800,68
98,31200,31743,2400,11
99,31200,36776,12000,31
100,31200,31409,9600,40
101,31200,33030,7800,81
102,31200,34515,6000,36
103,31200,33476,6000,62
104,31200,36192,12000,32
105,31200,33204,6000,61
106,31200,35953,12000,72
107,31800,36291,11400,71
108,31800,32438,3600,10
109,31800,33523,6000,80
110,32100,35407,7800,37
111,32400,34489,9000,68
112,32400,34432,9000,67
113,32400,36708,13200,72
114,32400,32943,3600,11
115,32400,32609,10800,40
116,32400,37094,13200,32
117,32400,37527,13200,31
118,32400,33223,3600,83
119,32400,35110,7200,36
120,32400,34158,7200,62
121,32400,34155,7200,61
122,32400,34230,9000,81
123,33000,37491,12600,71
124,33000,34723,7200,80
125,33000,33638,4800,10
126,33300,36161,9000,37
127,33600,34437,3600,82
128,34200,34409,12600,40
129,34200,34743,5400,11
130,34200,36289,10800,68
131,34200,38894,15000,32
132,34200,36030,10800,81
133,34200,36232,10800,67
134,34200,39327,15000,31
135,34200,35955,9000,61
136,34200,38508,15000,72
137,34200,36910,9000,36
138,34200,35958,9000,62
139,34800,35438,6600,10
140,34800,36523,9000,80
141,34800,39291,14400,71
142,35100,37961,10800,37
143,36000,41127,16800,31
144,36000,36543,7200,11
145,36000,40694,16800,32
146,36000,38710,10800,36
147,36000,37758,10800,62
148,36000,36823,7200,83
149,36000,40308,16800,72
150,36000,37755,10800,61
151,36000,37830,12600,81
152,36000,36209,14400,40
153,36000,38089,12600,68
154,36000,38032,12600,67
155,36600,37238,8400,10
156,36600,38323,10800,80
157,36600,41091,16200,71
158,36900,39761,12600,37
159,37200,38037,7200,82
160,37800,38009,16200,40
161,37800,39630,14400,81
162,37800,42494,18600,32
163,37800,39558,12600,62
164,37800,42927,18600,31
165,37800,39555,12600,61
166,37800,39889,14400,68
167,37800,40510,12600,36
168,37800,38343,9000,11
169,37800,42108,18600,72
170,37800,39832,14400,67
171,38400,39038,10200,10
172,38400,40123,12600,80
173,38400,42891,18000,71
174,38700,41561,14400,37
175,39600,40143,10800,11
176,39600,44294,20400,32
177,39600,41689,16200,68
178,39600,41632,16200,67
179,39600,44727,20400,31
180,39600,43908,20400,72
181,39600,41430,16200,81
182,39600,41355,14400,61
183,39600,42310,14400,36
184,39600,39809,18000,40
185,39600,41358,14400,62
186,40200,44691,19800,71
187,40200,41923,14400,80
188,40200,40838,12000,10
189,40500,43361,16200,37
190,41400,41943,12600,11
191,41400,46527,22200,31
192,41400,43158,16200,62
193,41400,43432,18000,67
194,41400,46094,22200,32
195,41400,41609,19800,40
196,41400,44110,16200,36
197,41400,43230,18000,81
198,41400,45708,22200,72
199,41400,43155,16200,61
200,41400,43489,18000,68
201,42000,43723,16200,80
202,42000,46491,21600,71
203,42000,42823,13200,83
204,42000,42638,13800,10
205,42300,45161,18000,37
206,43200,45910,18000,36
207,43200,48327,24000,31
208,43200,45232,19800,67
209,43200,43743,14400,11
210,43200,44955,18000,61
211,43200,45289,19800,68
212,43200,47508,24000,72
213,43200,45030,19800,81
214,43200,43409,21600,40
215,43200,44958,18000,62
216,43200,47894,24000,32
217,43500,44337,13500,82
218,43800,48291,23400,71
219,43800,45523,18000,80
220,43800,44438,15600,10
221,44100,46961,19800,37
222,45000,45209,23400,40
223,45000,50127,25800,31
224,45000,49694,25800,32
225,45000,47032,21600,67
226,45000,46755,19800,61
227,45000,49308,25800,72
228,45000,46830,21600,81
229,45000,45543,16200,11
230,45000,47089,21600,68
231,45000,46758,19800,62
232,45000,47710,19800,36
233,45600,50091,25200,71
234,45600,47323,19800,80
235,45600,46238,17400,10
236,45900,48761,21600,37
237,46800,47009,25200,40
238,46800,51494,27600,32
239,46800,48630,23400,81
240,46800,51108,27600,72
241,46800,47343,18000,11
242,46800,49510,21600,36
243,46800,51927,27600,31
244,46800,48832,23400,67
245,46800,48555,21600,61
246,46800,48558,21600,62
247,46800,48889,23400,68
248,47400,49123,21600,80
249,47400,48038,19200,10
250,47400,51891,27000,71
251,47700,50561,23400,37
252,48600,51310,23400,36
253,48600,50632,25200,67
254,48600,48809,27000,40
255,48600,52908,29400,72
256,48600,53294,29400,32
257,48600,50430,25200,81
258,48600,49143,19800,11
259,48600,50358,23400,62
260,48600,53727,29400,31
261,48600,50689,25200,68
262,48600,50355,23400,61
263,49200,53691,28800,71
264,49200,49838,21000,10
265,49200,50923,23400,80
266,49500,52361,25200,37
267,50400,52158,25200,62
268,50400,52489,27000,68
269,50400,52432,27000,67
270,50400,50943,21600,11
271,50400,52155,25200,61
272,50400,52230,27000,81
273,50400,54708,31200,72
274,50400,53110,25200,36
275,50400,50609,28800,40
276,50400,55094,31200,32
277,50400,55527,31200,31
278,51000,52723,25200,80
279,51000,51638,22800,10
280,51000,55491,30600,71
281,51300,54161,27000,37
282,52200,52743,23400,11
283,52200,56508,33000,72
284,52200,52409,30600,40
285,52200,54910,27000,36
286,52200,57327,33000,31
287,52200,54289,28800,68
288,52200,53955,27000,61
289,52200,53958,27000,62
290,52200,56894,33000,32
291,52200,54232,28800,67
292,52200,54030,28800,81
293,52800,53438,24600,10
294,52800,54523,27000,80
295,52800,53623,24000,83
296,52800,57291,32400,71
297,53100,55961,28800,37
298,54000,54209,32400,40
299,54000,54837,24000,82
300,54000,59127,34800,31
301,54000,56089,30600,68
302,54000,55758,28800,62
303,54000,55755,28800,61
304,54000,58694,34800,32
305,54000,58308,34800,72
306,54000,56710,28800,36
307,54000,55830,30600,81
308,54000,56032,30600,67
309,54000,54543,25200,11
310,54600,59091,34200,71
311,54600,55238,26400,10
312,54600,56323,28800,80
313,54900,57761,30600,37
314,55800,60108,36600,72
315,55800,57832,32400,67
316,55800,57555,30600,61
317,55800,56009,34200,40
318,55800,56343,27000,11
319,55800,60927,36600,31
320,55800,58510,30600,36
321,55800,57889,32400,68
322,55800,60494,36600,32
323,55800,57630,32400,81
324,55800,57558,30600,62
325,56400,58123,30600,80
326,56400,57223,27600,83
327,56400,60891,36000,71
328,56400,57038,28200,10
329,56700,59561,32400,37
330,57600,59689,34200,68
331,57600,58437,27600,82
332,57600,59632,34200,67
333,57600,62727,38400,31
334,57600,60310,32400,36
335,57600,59430,34200,81
336,57600,58143,28800,11
337,57600,59355,32400,61
338,57600,59358,32400,62
339,57600,61908,38400,72
340,57600,62294,38400,32
341,57600,57809,36000,40
342,58200,59923,32400,80
343,58200,58838,30000,10
344,58200,62691,37800,71
345,58500,61361,34200,37
346,59400,59943,30600,11
347,59400,61155,34200,61
348,59400,63708,40200,72
349,59400,64527,40200,31
350,59400,64094,40200,32
351,59400,62110,34200,36
352,59400,61158,34200,62
353,59400,61489,36000,68
354,59400,59609,37800,40
355,59400,61230,36000,81
356,59400,61432,36000,67
357,60000,60638,31800,10
358,60000,61723,34200,80
359,60000,64491,39600,71
360,60300,63161,36000,37
361,61200,65953,42000,72
362,61200,63338,36000,60
363,61200,63030,37800,81
364,61200,63476,36000,62
365,61200,63204,36000,61
366,61200,61409,39600,40
367,61200,61743,32400,11
368,61200,63667,37800,68
369,61200,64515,36000,36
370,61200,66192,42000,32
371,61200,66776,42000,31
372,61200,63062,36000,59
373,61200,63652,37800,67
374,61800,62438,33600,10
375,61800,66291,41400,71
376,61800,63523,36000,80
