new_index,s_time,e_time,delta_time,old_index
0,19800,24313,0,34
1,20400,22790,0,78
2,20400,20970,0,96
3,20400,21930,0,167
4,20400,22593,0,191
5,21300,23401,0,107
6,21300,22348,0,26
7,21300,22823,0,25
8,21540,26053,1740,34
9,21600,24157,0,73
10,21600,24440,0,71
11,21600,22903,0,241
12,21600,25093,0,8
13,21600,24050,0,24
14,21600,22774,0,153
15,21600,23639,0,213
16,21600,23687,0,215
17,21600,24918,0,84
18,21900,24265,0,106
19,22140,25003,0,223
20,22140,24841,0,224
21,22140,24697,540,73
22,22140,25093,0,23
23,22140,24980,540,71
24,22140,25036,0,70
25,22140,25633,540,8
26,22140,23314,540,153
27,22200,24393,1800,191
28,22200,24650,600,24
29,22200,25518,600,84
30,22200,24590,1800,78
31,22380,24481,1080,107
32,22440,25303,300,223
33,22500,25251,0,3
34,22500,23070,2100,96
35,22500,25325,0,2
36,22500,25453,360,23
37,22560,25400,960,71
38,22680,25884,0,21
39,22740,25565,240,2
40,22740,26233,1140,8
41,22740,23914,1140,153
42,22800,25134,0,187
43,22800,25957,0,72
44,22800,26859,0,143
45,22800,25540,0,64
46,22800,25917,0,165
47,22800,24330,2400,167
48,22800,25775,0,186
49,22800,26655,0,129
50,22800,25959,0,28
51,22800,25849,0,29
52,22800,26899,0,128
53,22800,25168,0,65
54,22800,26355,0,142
55,22860,24337,0,154
56,22860,24439,0,152
57,22860,26019,60,28
58,22860,25225,960,106
59,22860,26178,1260,84
60,22920,26475,120,142
61,22920,26979,120,143
62,22920,25760,1320,71
63,22920,26775,120,129
64,23040,26595,240,142
65,23040,27099,240,143
66,23100,26364,0,22
67,23100,25732,0,115
68,23100,25697,0,114
69,23100,25201,1800,107
70,23100,25412,0,113
71,23100,25963,960,223
72,23100,25550,1500,24
73,23100,26108,0,111
74,23160,25528,360,65
75,23160,26056,1020,70
76,23160,26113,1020,23
77,23160,25861,1020,224
78,23220,27681,0,37
79,23220,26775,420,142
80,23220,27279,420,143
81,23220,27625,0,36
82,23220,26060,1620,71
83,23280,24859,420,152
84,23280,25912,180,115
85,23280,24757,420,154
86,23280,25837,1680,73
87,23280,26105,780,2
88,23340,26315,540,186
89,23340,26497,540,72
90,23340,25652,240,113
91,23340,24514,1740,153
92,23340,26091,840,3
93,23340,26833,1740,8
94,23340,27756,0,196
95,23340,25937,240,114
96,23340,26348,240,111
97,23400,25124,0,207
98,23400,27499,600,128
99,23400,26522,0,30
100,23400,27194,0,82
101,23400,26796,0,81
102,23400,26762,0,169
103,23400,24766,0,155
104,23400,25118,0,156
105,23400,24905,0,89
106,23400,25479,0,39
107,23400,27255,600,129
108,23400,24357,0,237
109,23400,25804,0,27
110,23400,25490,0,86
111,23400,26149,0,6
112,23400,26484,0,7
113,23400,27241,0,227
114,23400,26115,0,161
115,23400,26165,0,5
116,23400,26149,0,85
117,23400,25645,0,88
118,23400,24896,0,145
119,23400,27144,0,179
120,23400,27390,0,177
121,23400,27472,0,176
122,23400,25870,0,87
123,23400,24448,2100,26
124,23400,25047,0,203
125,23400,26469,0,226
126,23400,27184,0,18
127,23400,24923,2100,25
128,23400,24027,0,238
129,23400,25140,0,44
130,23400,24725,0,125
131,23400,24931,0,1
132,23400,27913,3600,34
133,23400,24836,0,101
134,23400,26452,0,63
135,23400,24369,0,240
136,23400,24181,0,100
137,23400,24913,0,52
138,23400,26719,0,62
139,23400,24837,0,239
140,23400,25734,600,187
141,23400,25378,0,146
142,23400,26576,0,79
143,23400,26530,0,57
144,23400,25852,0,56
145,23460,27015,660,142
146,23460,26778,1860,84
147,23460,26816,0,17
148,23460,27731,0,197
149,23460,26200,660,64
150,23460,25746,0,147
151,23460,27519,660,143
152,23520,25843,0,112
153,23520,26629,0,110
154,23520,26473,1380,23
155,23520,25495,0,0
156,23520,26383,1380,223
157,23520,27048,0,80
158,23520,25388,0,31
159,23520,26043,0,181
160,23580,26588,480,111
161,23580,25599,0,10
162,23580,26163,0,175
163,23580,26190,0,178
164,23580,27364,180,18
165,23580,25379,0,144
166,23580,25892,480,113
167,23640,26799,840,28
168,23640,27195,840,142
169,23640,27699,840,143
170,23640,25444,0,93
171,23640,25541,0,38
172,23700,26749,900,29
173,23700,25739,2100,213
174,23700,26540,2100,71
175,23700,26034,900,187
176,23700,25003,2100,241
177,23700,27228,180,80
178,23700,26257,2100,73
179,23700,25836,0,109
180,23700,26055,0,204
181,23700,26964,600,22
182,23700,25779,300,39
183,23700,25945,300,88
184,23700,26332,600,115
185,23700,25787,2100,215
186,23700,26414,0,108
187,23760,26354,0,180
188,23760,28221,540,37
189,23760,26656,1620,70
190,23760,26164,360,27
191,23760,26128,960,65
192,23760,28165,540,36
193,23760,26762,0,164
194,23820,26106,360,147
195,23820,27313,2220,8
196,23820,27167,0,168
197,23820,26571,1320,3
198,23820,24994,2220,153
199,23820,27216,420,81
200,23820,28236,480,196
201,23820,26795,1020,186
202,23880,26203,360,112
203,23880,28151,420,197
204,23880,26989,360,110
205,23880,27056,480,79
206,23880,27242,480,169
207,23880,27408,360,80
208,23880,27198,2280,84
209,23880,27735,1080,129
210,23940,26900,0,46
211,23940,26556,0,16
212,23940,26023,0,9
213,23940,27724,540,18
214,23940,26432,0,174
215,23940,25918,540,146
216,23940,26537,840,114
217,23940,26765,1440,2
218,23940,27097,1140,72
219,23940,26948,840,111
220,23940,27495,1140,142
221,23940,26252,840,113
222,23940,26185,540,88
223,23940,27734,540,82
224,23940,27999,1140,143
225,24000,25016,0,97
226,24000,24977,0,98
227,24000,27084,600,7
228,24000,25901,360,38
229,24000,25769,0,158
230,24000,27356,540,17
231,24000,26470,600,87
232,24000,28099,1200,128
233,24000,25868,480,31
234,24000,26390,3600,78
235,24000,26197,0,45
236,24000,26205,0,47
237,24000,27264,900,22
238,24060,26583,540,181
239,24060,27588,540,80
240,24060,25537,1200,154
241,24060,25591,660,1
242,24060,26139,660,39
243,24060,26079,480,10
244,24060,27264,1380,21
245,24060,26692,960,115
246,24060,27003,0,4
247,24060,25639,1200,152
248,24120,27242,720,30
249,24120,26885,720,5
250,24120,26454,1320,187
251,24120,27172,720,63
252,24120,27016,1980,70
253,24120,26860,1320,64
254,24120,24775,0,99
255,24120,26869,720,6
256,24120,26960,2520,71
257,24180,26545,2280,106
258,24180,28585,960,36
259,24180,26737,2580,73
260,24180,26632,780,56
261,24180,26763,600,175
262,24180,28451,720,197
263,24180,28641,960,37
264,24180,25695,0,160
265,24240,26552,1140,113
266,24240,27248,1140,111
267,24240,26526,780,147
268,24240,26644,840,27
269,24240,27842,0,92
270,24300,27049,900,85
271,24300,26390,900,86
272,24300,27302,540,164
273,24300,27828,780,80
274,24300,27001,2160,224
275,24300,26280,0,14
276,24300,27051,1800,3
277,24300,25926,0,11
278,24300,28155,1500,129
279,24300,26668,1500,65
280,24300,28359,1500,143
281,24300,27285,0,219
282,24300,27430,900,57
283,24300,27855,1500,142
284,24300,26545,900,88
285,24300,27476,900,79
286,24300,28716,960,196
287,24300,27014,600,108
288,24300,26436,600,109
289,24300,28084,900,18
290,24300,27253,2160,23
291,24300,27656,840,17
292,24300,27163,2160,223
293,24300,26762,0,220
294,24360,27519,1560,28
295,24360,27200,2760,71
296,24360,27335,1560,186
297,24360,26228,840,31
298,24360,26335,840,0
299,24360,27678,2760,84
300,24360,26992,1260,115
301,24360,26683,840,112
302,24360,27469,840,110
303,24420,26732,1320,113
304,24420,27428,1320,111
305,24420,26067,1020,203
306,24480,26499,900,10
307,24480,26950,1080,87
308,24480,26814,1680,187
309,24480,27876,1080,81
310,24480,26279,900,144
311,24480,26559,1080,39
312,24480,27827,660,168
313,24480,26458,1080,146
314,24480,28751,1020,197
315,24480,27684,1800,21
316,24480,27482,720,164
317,24540,26990,2940,24
318,24540,26119,1680,152
319,24540,28033,2940,8
320,24540,27365,2040,2
321,24540,28068,1020,80
322,24540,27483,480,4
323,24540,27436,2400,70
324,24540,27032,600,174
325,24540,25714,2940,153
326,24540,27137,1440,114
327,24540,26017,1680,154
328,24540,27804,1440,22
329,24540,27859,1140,62
330,24540,26036,1140,145
331,24600,27560,0,20
332,24600,26881,0,94
333,24600,26711,0,116
334,24600,26925,0,117
335,24600,27649,1800,29
336,24600,27722,1200,30
337,24600,28699,1800,128
338,24600,29005,1380,36
339,24600,27757,1800,72
340,24600,29061,1380,37
341,24600,25170,4200,96
342,24600,27684,1200,7
343,24660,28215,1860,142
344,24660,27425,1260,5
345,24660,28444,1260,18
346,24660,28719,1860,143
347,24660,27409,1260,6
348,24660,27292,1560,115
349,24660,26946,1200,147
350,24660,27613,2520,23
351,24660,27217,3060,73
352,24660,26561,1020,38
353,24660,27064,1260,27
354,24720,27896,1320,79
355,24720,27583,2580,223
356,24720,28575,1920,129
357,24720,27054,1920,187
358,24720,27560,3120,71
359,24780,26311,1380,1
360,24780,27145,2880,106
361,24780,29196,1440,196
362,24780,28142,1380,169
363,24780,27103,1260,112
364,24780,27377,1680,114
365,24780,26636,0,206
366,24780,28136,1320,17
367,24780,26985,780,47
368,24780,27303,1260,181
369,24780,27889,1260,110
370,24840,27999,2040,28
371,24840,27152,1740,113
372,24840,27815,2040,186
373,24840,27591,2340,3
374,24840,28368,1320,80
375,24840,27848,1740,111
376,24840,26708,1320,31
377,24840,28634,1440,82
378,24840,26644,1200,93
379,24840,27541,2700,224
380,24900,26878,1500,146
381,24900,28218,3300,84
382,24900,27640,2100,64
383,24900,25681,1500,100
384,24900,26445,0,90
385,24900,28057,2100,72
386,24900,27268,2100,65
387,24900,27952,1500,63
388,24900,28164,1800,22
389,24900,26396,0,102
390,24900,26274,0,124
391,24900,27632,0,83
392,24900,27001,3600,107
393,24900,29171,1440,197
394,24960,27517,3360,73
395,24960,27039,1560,39
396,24960,27856,2820,70
397,24960,27692,60,83
398,24960,27543,1380,175
399,25020,27860,3420,71
400,25020,28224,2340,21
401,25020,27039,1440,10
402,25020,26525,1620,89
403,25020,28022,1260,164
404,25020,28142,1620,30
405,25080,29541,1860,37
406,25080,28635,2280,142
407,25080,29139,2280,143
408,25080,27989,0,163
409,25080,27361,480,94
410,25080,27550,1680,87
411,25080,28040,1140,46
412,25080,28476,1680,81
413,25080,27976,2940,70
414,25080,27572,1140,174
415,25080,26981,1440,38
416,25080,29485,1860,36
417,25080,28210,1680,57
418,25080,27712,1980,115
419,25140,28668,1620,80
420,25140,28633,3540,8
421,25140,26314,3540,153
422,25140,28884,1740,179
423,25140,28866,0,91
424,25140,28924,1740,18
425,25140,28073,0,15
426,25140,28316,1740,79
427,25140,27385,1740,88
428,25140,28742,900,92
429,25200,27965,1800,5
430,25200,27411,0,216
431,25200,30391,5400,34
432,25200,27434,0,41
433,25200,27469,3600,215
434,25200,28011,1440,180
435,25200,27512,2100,113
436,25200,29299,2400,128
437,25200,27104,0,33
438,25200,26185,0,210
439,25200,27949,1800,6
440,25200,26530,0,43
441,25200,27296,0,151
442,25200,28591,1800,27
443,25200,29161,1800,7
444,25200,28772,2100,111
445,25200,27437,0,40
446,25200,28330,0,121
447,25200,26837,0,42
448,25200,28511,2400,165
449,25200,28147,0,162
450,25200,26930,0,32
451,25200,28563,1680,110
452,25200,27523,1680,112
453,25200,28724,1380,168
454,25200,29918,1800,176
455,25200,28143,1140,4
456,25200,28782,1740,17
457,25200,28942,3600,84
458,25200,27949,1800,85
459,25200,27500,0,214
460,25200,27290,1800,86
461,25260,26839,2400,152
462,25260,28749,2460,186
463,25260,27128,1740,31
464,25260,27546,1800,147
465,25260,26737,2400,154
466,25260,27343,1320,9
467,25260,29948,2460,129
468,25320,28278,2820,3
469,25320,30368,1860,197
470,25320,28305,1020,219
471,25320,28231,1800,181
472,25320,28465,2820,2
473,25320,27359,0,202
474,25320,29201,2520,28
475,25320,29114,1920,82
476,25320,27688,2520,65
477,25320,27403,1380,9
478,25380,28843,1980,62
479,25380,28450,3780,71
480,25380,27703,1860,112
481,25380,28743,1860,110
482,25380,27459,1980,39
483,25380,28817,1980,30
484,25380,27977,2280,114
485,25440,28540,1860,175
486,25440,27622,1920,0
487,25440,26971,2040,1
488,25440,27685,2040,88
489,25440,28964,1620,168
490,25440,29537,2640,143
491,25440,27523,1500,9
492,25440,28205,2040,5
493,25440,30638,2640,142
494,25440,28189,2040,6
495,25500,26937,2100,239
496,25500,26469,2100,240
497,25500,28762,2100,56
498,25500,29767,2100,161
499,25500,30447,2100,227
500,25500,27013,2100,52
501,25500,28975,2100,79
502,25500,26922,2100,237
503,25500,27519,1920,10
504,25500,26173,2100,238
505,25500,29905,2100,226
506,25500,28132,2400,115
507,25500,27218,2100,156
508,25500,26866,2100,155
509,25500,28539,3900,24
510,25500,28542,3360,223
511,25500,27506,2100,44
512,25500,28632,3360,23
513,25500,29767,1980,80
514,25500,27299,1920,144
515,25560,28292,660,83
516,25560,26734,3960,153
517,25560,29436,3960,8
518,25560,29659,2760,128
519,25560,28448,3420,224
520,25560,26215,1440,99
521,25560,27461,1920,38
522,25620,29695,2220,18
523,25620,29407,2220,169
524,25620,29011,2220,27
525,25620,30668,2160,197
526,25620,29016,2220,81
527,25620,27488,2100,31
528,25620,29196,2520,22
529,25620,27932,2520,113
530,25620,29192,2520,111
531,25680,30552,2340,196
532,25680,29422,4080,84
533,25680,27885,1680,47
534,25680,29169,2880,186
535,25680,27327,2280,203
536,25680,26866,0,69
537,25680,28638,3180,3
538,25740,30604,2520,36
539,25740,28000,0,198
540,25740,30638,2520,37
541,25740,27980,0,199
542,25740,28992,2340,63
543,25740,28836,2940,64
544,25740,30428,2940,129
545,25740,27464,2340,207
546,25740,28887,1800,16
547,25740,28671,1800,174
548,25740,29008,2340,57
549,25740,28130,5340,78
550,25800,29761,2400,7
551,25800,29382,2340,17
552,25800,27796,0,54
553,25800,28026,4200,213
554,25800,27890,2400,86
555,25800,27379,2940,152
556,25800,27323,4500,25
557,25800,28357,4200,73
558,25800,29160,3660,70
559,25800,28549,2400,85
560,25800,27982,2280,0
561,25800,27879,2400,39
562,25800,28034,600,41
563,25800,29275,2400,79
564,25800,26848,4500,26
565,25800,27277,2940,154
566,25800,27103,4200,241
567,25800,28870,4200,71
568,25800,28123,1800,158
569,25800,26431,0,50
570,25800,28498,0,205
571,25800,30998,3000,142
572,25800,29897,3000,143
573,25800,28037,600,40
574,25860,30127,2340,80
575,25860,29223,2340,110
576,25860,28172,2760,113
577,25860,28146,2400,147
578,25860,28492,2760,115
579,25860,27761,2220,38
580,25860,29297,2460,30
581,25860,29741,3060,28
582,25860,29432,2760,111
583,25860,28771,2340,181
584,25860,28183,2340,112
585,25920,30019,3120,128
586,25920,30968,2460,197
587,25920,29280,3780,70
588,25920,30145,780,91
589,25920,28254,3120,187
590,25920,28962,3780,223
591,25920,27939,2340,10
592,25920,29489,3240,21
593,25980,28348,3180,65
594,25980,29112,3840,23
595,25980,27154,4380,153
596,25980,27958,2580,146
597,25980,27495,1800,160
598,25980,29323,2220,164
599,25980,29856,4380,8
600,26040,27365,2640,125
601,26040,28637,2940,114
602,26040,27226,360,69
603,26040,28374,3240,187
604,26040,27536,2640,145
605,26040,30017,1800,92
606,26040,30115,2640,18
607,26100,27968,2580,31
608,26100,29463,2580,110
609,26100,28423,2580,112
610,26100,29060,2160,46
611,26100,29043,2040,4
612,26100,30788,3300,129
613,26100,30972,2760,196
614,26100,27117,2100,98
615,26100,29842,4500,84
616,26100,27116,2100,97
617,26100,28376,2100,45
618,26160,28925,2760,5
619,26160,28138,2760,146
620,26160,29635,2760,79
621,26160,31358,3360,142
622,26160,30257,3360,143
623,26160,29425,3360,72
624,26160,30041,3360,28
625,26160,29305,3660,2
626,26160,28971,2400,180
627,26160,28717,4560,73
628,26160,29551,2760,27
629,26160,28909,2760,6
630,26160,28757,3060,114
631,26220,29802,2760,17
632,26220,28303,2280,9
633,26220,29709,3420,186
634,26220,31118,3000,37
635,26220,30487,2700,80
636,26220,29320,2640,175
637,26220,29616,2820,81
638,26220,29683,2820,62
639,26220,29290,4620,71
640,26220,28121,2580,38
641,26220,29744,2400,168
642,26220,31084,3000,36
643,26220,29796,3120,22
644,26280,29597,1140,15
645,26280,28592,3180,113
646,26280,31328,2820,197
647,26280,29527,1200,163
648,26280,28359,2880,39
649,26280,29849,3600,21
650,26280,30067,2880,169
651,26280,29211,2340,174
652,26280,29852,3180,111
653,26280,28912,3180,115
654,26280,30379,3480,128
655,26280,29542,2880,56
656,26340,29864,2520,168
657,26340,27871,2940,1
658,26340,28810,2940,87
659,26340,29608,2940,57
660,26340,29228,4200,224
661,26340,28585,2940,88
662,26400,29837,3000,30
663,26400,27181,3000,100
664,26400,28490,3000,86
665,26400,28637,1200,40
666,26400,29763,2880,110
667,26400,27642,0,242
668,26400,27472,0,104
669,26400,29439,4800,24
670,26400,28734,3600,187
671,26400,28669,4800,215
672,26400,30290,0,75
673,26400,28634,1200,41
674,26400,27729,0,194
675,26400,27714,0,195
676,26400,29149,3000,85
677,26400,30485,0,76
678,26400,28723,2880,112
679,26400,30361,3000,7
680,26460,28809,1860,94
681,26460,28328,2940,31
682,26460,30336,4860,8
683,26460,27634,4860,153
684,26460,29530,4860,71
685,26460,29820,4320,70
686,26460,29556,3660,64
687,26460,30727,2940,80
688,26520,28319,2940,144
689,26520,28424,1320,33
690,26520,31208,3720,129
691,26520,29995,3120,79
692,26520,30102,3060,17
693,26520,28250,1320,32
694,26520,28888,3720,65
695,26520,28616,1320,151
696,26520,28820,1320,214
697,26520,29467,1320,162
698,26580,29971,3180,27
699,26580,29312,1680,83
700,26580,29491,3060,181
701,26580,30677,3780,143
702,26580,28619,1260,202
703,26580,28866,3120,147
704,26580,28659,3180,39
705,26580,31778,3780,142
706,26580,31452,3240,196
707,26640,29905,3840,72
708,26640,31328,3840,129
709,26640,29892,3240,63
710,26640,29451,2880,180
711,26640,31688,3180,197
712,26640,28592,3000,93
713,26640,28952,3540,113
714,26640,29189,5340,107
715,26640,29598,4140,3
716,26640,30739,3840,128
717,26640,30715,3240,18
718,26640,30212,3540,111
719,26640,28963,3120,112
720,26640,30003,3120,110
721,26700,28783,2760,9
722,26700,30494,3300,82
