new_index,s_time,e_time,delta_time,old_index
0,0,1235,0,877
1,0,1141,0,882
2,1800,2909,0,881
3,3600,4835,3600,877
4,3600,4741,3600,882
5,5400,6509,3600,881
6,7200,8435,7200,877
7,7200,8341,7200,882
8,9000,10109,7200,881
9,10800,11941,10800,882
10,10800,12035,10800,877
11,12600,13709,10800,881
12,14400,15541,14400,882
13,14400,15635,14400,877
14,16200,22130,0,1066
15,16200,17309,14400,881
16,16200,25317,0,599
17,16200,25438,0,593
18,16800,25235,0,248
19,16800,23384,0,277
20,17100,20124,0,629
21,17400,19301,0,853
22,17400,18804,0,892
23,17400,19295,0,872
24,17700,20339,0,1057
25,17940,26375,1140,248
26,17940,24524,1140,277
27,18000,22886,0,630
28,18000,21920,0,775
29,18000,20794,0,776
30,18000,20192,0,1091
31,18000,20634,0,867
32,18000,24537,0,172
33,18000,19366,0,748
34,18000,20522,0,868
35,18000,20514,0,745
36,18000,19686,0,609
37,18000,26887,0,472
38,18000,23592,0,1059
39,18000,20852,0,628
40,18000,19755,0,608
41,18000,19311,0,860
42,18000,21007,0,1012
43,18000,23013,0,118
44,18000,22032,0,74
45,18000,20546,0,1024
46,18000,20681,0,1025
47,18000,25060,0,869
48,18000,20726,0,69
49,18000,21286,0,549
50,18000,21413,0,548
51,18000,24027,0,173
52,18000,21309,0,1013
53,18000,19811,0,1265
54,18000,20884,0,340
55,18000,20495,0,535
56,18000,21098,0,1141
57,18000,19157,0,878
58,18000,20032,0,655
59,18000,19426,0,891
60,18000,21106,0,1142
61,18000,21103,0,650
62,18000,21166,0,771
63,18300,21370,0,1089
64,18420,21518,420,1141
65,18540,25124,1740,277
66,18600,26537,0,900
67,18600,20494,0,871
68,18600,21706,600,1142
69,18600,24587,0,772
70,18600,27328,0,935
71,18600,20351,0,760
72,18600,25091,0,767
73,18600,21982,0,757
74,18600,21251,0,536
75,18600,22817,0,117
76,18600,21226,0,1056
77,18660,24384,0,234
78,18660,20534,0,113
79,18900,27335,2100,248
80,18900,22027,0,649
81,18900,25855,0,1060
82,18900,20240,0,749
83,18900,21642,0,115
84,18900,21547,0,1003
85,18900,21035,0,930
86,18900,22174,0,756
87,18900,20774,240,113
