new_index,s_time,e_time,delta_time,old_index
0,24000,28705,0,16
1,24000,26759,0,23
2,24000,27536,0,38
3,24000,29257,0,50
4,24000,27206,0,40
5,24000,27171,0,24
6,24000,28285,0,47
7,24000,29947,0,43
8,24000,26905,0,44
9,24000,29156,0,45
10,24000,28415,0,11
11,24000,28128,0,26
12,24000,29006,0,46
13,24000,28337,0,10
14,24000,26596,0,25
15,24000,29464,0,22
16,24000,26738,0,51
17,24000,27352,0,5
18,24000,27710,0,15
19,24000,28603,0,62
20,24000,28308,0,41
21,24000,28302,0,9
22,24000,28670,0,32
23,24000,26266,0,48
24,24000,27450,0,7
25,24000,26455,0,31
26,24000,29063,0,58
27,24000,25950,0,49
28,24000,26437,0,36
29,24000,26900,0,55
30,24000,27973,0,14
31,24000,27658,0,35
32,24000,29286,0,19
33,24000,26909,0,34
34,24000,26751,0,54
35,24000,26439,0,52
36,24000,29223,0,29
37,24000,28929,0,18
38,24000,26397,0,53
39,24000,26164,0,59
40,24000,26640,0,2
41,24060,29972,0,42
42,24120,25898,0,56
43,24120,29672,0,27
44,24120,29168,0,30
45,24120,27782,0,39
46,24180,30127,180,43
47,24300,26565,0,6
48,24360,27810,360,7
49,24420,29349,420,18
50,24420,26817,420,53
51,24420,26859,420,52
52,24420,30332,360,42
53,24480,27076,480,25
54,24480,28303,0,12
55,24480,28765,480,47
56,24540,29763,540,29
57,24540,27278,540,51
58,24540,29797,540,50
59,24540,28604,0,4
60,24600,29886,600,19
61,24600,27359,600,23
62,24600,27771,600,24
63,24600,28583,0,57
64,24600,29015,600,11
65,24660,28196,660,38
66,24660,27866,660,40
67,24720,28848,720,26
68,24720,27620,720,55
69,24720,27471,720,54
70,24720,29876,720,45
71,24780,28132,780,5
72,24780,29843,780,58
73,24780,29828,660,30
74,24780,28908,780,26
75,24840,30304,840,22
76,24840,30752,780,42
77,24840,27745,840,44
78,24840,30111,0,28
79,24840,28478,0,13
80,24900,29237,900,10
81,24900,28562,780,39
82,24900,28873,900,14
83,24900,29906,900,46
84,24900,30847,900,43
85,24900,28350,900,7
86,24900,27718,0,3
87,24960,28496,960,38
88,24960,27357,960,53
89,24960,27869,960,34
90,25020,29148,1020,26
91,25020,27776,0,21
92,25020,27459,1020,52
93,25020,27616,1020,25
94,25080,29208,1080,26
95,25080,27517,1080,36
96,25140,30397,1140,50
97,25140,27878,1140,51
98,25140,29425,1140,47
99,25140,30069,1140,18
100,25200,31307,1200,10
101,25200,27959,1200,23
102,25200,29984,0,33
103,25200,30521,1200,19
104,25200,27840,1200,2
105,25200,28371,1200,24
106,25200,27655,1200,31
107,25200,27951,1200,54
108,25320,28754,1020,6
109,25320,30678,1320,45
110,25320,29628,1320,41
111,25380,31532,1320,42
112,25380,30270,900,12
