new_index,s_time,e_time,delta_time,old_index
0,21600,24327,0,34
1,21600,23901,0,31
2,22620,25347,1020,34
3,22620,24921,1020,31
4,23640,26367,2040,34
5,23640,25941,2040,31
6,24660,26961,3060,31
7,24660,27387,3060,34
8,25680,28407,4080,34
9,25680,27981,4080,31
10,26700,29001,5100,31
11,26700,29427,5100,34
12,27000,28974,0,25
13,27000,31029,0,18
14,27000,30372,0,19
15,27000,29145,0,30
16,27000,29996,0,29
17,27000,29788,0,38
18,27000,29434,0,2
19,27000,29434,0,2
20,27000,28868,0,3
21,27000,28589,0,26
22,27000,28470,0,1
23,27000,29160,0,36
24,27000,29583,0,32
25,27000,29549,0,33
26,27060,28981,0,27
27,27060,30678,0,28
28,27180,29250,0,4
29,27180,28950,0,0
30,27180,29286,0,37
31,27180,29062,0,24
32,27420,28890,420,1
33,27600,29070,600,1
34,27600,31493,0,16
35,27660,30656,660,29
36,27720,31338,660,28
37,27720,29309,720,26
38,27720,29490,540,0
39,27720,30447,6120,34
40,27720,30021,6120,31
41,27720,29641,660,27
42,27780,30329,780,33
43,27780,30363,780,32
44,27840,29708,840,3
45,27840,29814,840,25
46,27900,29782,720,24
47,28020,32049,1020,18
48,28020,31392,1020,19
49,28020,30165,1020,30
50,28020,30454,1020,2
51,28140,30210,960,4
52,28200,33392,0,6
53,28200,29970,1020,0
54,28200,31030,0,10
55,28200,30073,0,5
56,28200,33169,0,7
57,28200,31288,0,12
58,28320,30480,1320,36
59,28320,31316,1320,29
60,28380,29969,1380,26
61,28440,30546,1260,37
62,28440,30361,1380,27
63,28500,32118,1440,28
64,28500,29970,1500,1
65,28560,31109,1560,33
66,28560,31143,1560,32
67,28620,32513,1020,16
68,28680,30562,1500,24
69,28680,30654,1680,25
70,28740,30608,1740,3
71,28740,31041,7140,31
72,28740,31467,7140,34
73,28800,32290,0,23
74,28800,31383,1800,32
75,28800,32186,0,14
76,28800,31349,1800,33
77,28800,32620,0,15
78,28800,31336,0,35
79,28800,31553,0,11
80,28800,31621,0,21
81,28800,32040,0,22
82,28800,31874,0,13
83,28800,31579,0,20
84,28920,30690,1740,0
85,28980,31050,1800,4
86,29040,32412,2040,19
87,29040,33069,2040,18
88,29040,31185,2040,30
89,29100,32096,2100,29
90,29100,31695,0,39
91,29100,31534,2100,2
92,29160,31081,2100,27
93,29160,32778,2100,28
94,29220,32050,1020,10
95,29220,34189,1020,7
96,29220,32008,2220,38
97,29220,31093,1020,5
98,29220,34412,1020,6
99,29220,32308,1020,12
100,29340,31889,2340,33
101,29340,30810,2340,1
102,29340,31923,2340,32
103,29400,30989,2400,26
104,29400,32087,0,9
105,29460,31230,2280,0
106,29460,31434,2460,25
107,29460,31342,2280,24
108,29580,33198,2520,28
109,29580,32129,2580,33
110,29580,32163,2580,32
111,29640,33533,2040,16
112,29760,32061,8160,31
113,29760,32487,8160,34
114,29760,32607,0,8
115,29760,31830,2580,4
