new_index,s_time,e_time,delta_time,old_index
0,0,2607,0,434
1,0,3069,0,435
2,1800,4407,1800,434
3,3600,6207,3600,434
4,5400,8007,5400,434
5,7200,9807,7200,434
6,10800,13407,10800,434
7,13800,14555,0,661
8,13800,14546,0,663
9,14400,15165,0,662
10,14400,17007,14400,434
11,16200,17698,0,257
12,17160,18477,0,256
13,18000,21069,18000,435
14,18000,20607,18000,434
15,18600,20098,2400,257
16,19200,22269,19200,435
17,19200,21807,19200,434
18,19620,20937,2460,256
19,19800,22407,19800,434
20,20400,23469,20400,435
21,20400,23007,20400,434
22,21000,21755,7200,661
23,21000,22498,4800,257
24,21000,21746,7200,663
25,21600,23416,0,205
26,21600,23198,0,290
27,21600,24435,0,405
28,21600,24302,0,29
29,21600,24117,0,393
30,21600,23834,0,255
31,21600,23593,0,243
32,21600,23735,0,608
33,21600,24684,0,213
34,21600,22022,0,445
35,21600,23713,0,402
36,21600,23524,0,508
37,21600,24462,0,346
38,21600,24623,0,342
39,21600,23187,0,483
40,21600,24200,0,536
41,21600,22967,0,580
42,21600,23333,0,253
43,21600,24975,0,487
44,21600,25803,0,447
45,21600,24195,0,275
46,21600,25485,0,355
47,21600,24828,0,352
48,21600,24149,0,548
49,21600,23708,0,403
50,21600,23971,0,401
51,21600,24240,0,372
52,21600,22687,0,565
53,21600,24810,0,61
54,21600,23422,0,249
55,21600,23745,0,509
56,21600,24373,0,353
57,21600,25630,0,26
58,21600,24169,0,195
59,21600,25723,0,439
60,21600,24403,0,391
61,21600,24831,0,395
62,21600,24393,0,221
63,21600,24099,0,465
64,21600,23302,0,267
65,21600,22803,0,566
66,21600,23482,0,264
67,21600,25487,0,417
68,21600,24004,0,289
69,21600,24194,0,298
70,21600,24255,0,299
71,21600,25548,0,258
72,21600,24100,0,451
73,21600,24957,0,263
74,21600,25171,0,109
75,21600,22365,7200,662
76,21600,23832,0,505
77,21600,23867,0,260
78,21600,24031,0,177
79,21600,23684,0,265
80,21600,24675,0,351
81,21600,23385,0,385
82,21600,23397,0,280
83,21600,23736,0,297
84,21600,24901,0,227
85,21600,25137,0,305
86,21600,23911,0,240
87,21600,25845,0,348
88,21600,24557,0,338
89,21600,24581,0,337
90,21600,24057,0,543
91,21600,24649,0,581
92,21600,25597,0,206
93,21600,25323,0,122
94,21600,23941,0,544
95,21660,24935,0,539
96,21660,23335,0,362
97,21660,24380,0,413
98,21660,23982,0,68
99,21660,25279,0,110
100,21720,22951,0,370
101,21720,23595,0,480
102,21720,23783,0,532
103,21780,25805,0,328
104,21780,24076,0,245
105,21840,24144,0,316
106,21840,23625,240,385
107,21900,24998,0,97
108,21900,23872,0,17
109,21900,25007,0,174
110,21960,25957,360,206
111,22020,24740,360,413
112,22020,24224,0,251
113,22020,25395,420,487
114,22020,25251,420,395
115,22020,24218,0,373
116,22020,25472,0,196
117,22020,25183,0,333
118,22080,23755,420,362
119,22080,26077,480,206
120,22080,24675,480,275
121,22140,23925,540,385
122,22140,26385,540,348
123,22140,23937,540,280
124,22140,25224,540,213
125,22140,24657,540,393
126,22140,25516,0,31
127,22140,24943,540,391
128,22200,26237,0,475
129,22200,26297,0,474
130,22200,25652,180,196
131,22200,25058,0,237
132,22200,27252,0,599
133,22200,22628,0,444
134,22200,24840,600,372
135,22200,23431,480,370
136,22260,24582,600,68
137,22260,25367,360,174
138,22260,23415,0,425
139,22260,24492,660,505
140,22260,26257,660,206
141,22320,24131,0,515
142,22320,24524,300,251
143,22320,24195,600,480
144,22320,24465,720,509
145,22320,24383,600,532
146,22320,24100,0,295
147,22320,26207,720,417
148,22320,25595,660,539
149,22320,24871,0,125
150,22380,26503,780,439
151,22380,25082,780,29
152,22380,24055,720,362
153,22380,24647,780,260
154,22440,24173,840,253
155,22440,24358,0,489
156,22440,26465,660,328
157,22440,26011,840,109
158,22440,24552,0,526
159,22440,24528,0,350
160,22440,24262,840,249
161,22440,26059,780,110
162,22440,26163,840,122
163,22440,25741,840,227
164,22440,25302,840,346
165,22500,25110,0,502
166,22500,24698,480,373
167,22500,24199,0,369
168,22500,25663,480,333
169,22500,25952,480,196
170,22500,25220,840,413
171,22500,24871,900,401
172,22500,26037,900,305
173,22500,25731,900,395
174,22500,26248,0,381
175,22500,26497,900,206
176,22560,25142,0,473
177,22560,25150,0,359
178,22560,24532,660,17
179,22560,24441,0,231
180,22620,25727,720,174
181,22620,24405,1020,385
182,22680,26677,1080,206
183,22680,24922,0,364
184,22680,25051,1080,401
185,22740,24591,0,223
186,22740,26115,1140,487
187,22740,26737,1140,206
188,22740,24525,1140,385
189,22740,25111,1140,401
190,22740,25098,0,449
191,22740,24591,0,443
192,22740,25198,0,519
193,22740,26985,1140,348
194,22740,25309,1140,195
195,22740,26116,600,31
196,22800,26748,1200,258
197,22800,25090,0,190
198,22800,24724,1200,508
199,22800,26766,0,433
200,22800,25440,1200,372
201,22800,24031,1080,370
202,22800,25317,1200,393
203,22860,24735,1140,480
204,22860,25182,1200,68
205,22860,25455,1260,275
206,22860,25663,1260,391
207,22860,26903,0,329
208,22860,24873,0,525
209,22860,26091,1260,395
210,22860,25005,1260,509
211,22860,25164,1020,316
212,22860,26312,840,196
213,22920,25778,720,237
214,22920,25640,1260,413
215,22920,24983,1200,532
216,22920,24595,1260,362
217,22920,26004,1320,213
218,22920,25510,360,359
219,22980,25531,660,125
220,22980,27017,780,475
221,22980,26078,1080,97
222,22980,26977,1380,206
223,22980,24796,1380,205
224,22980,27103,1380,439
225,22980,26867,1380,417
226,22980,24973,1380,243
227,22980,24071,0,426
228,22980,26087,1080,174
229,22980,24055,0,484
230,22980,27077,780,474
231,22980,25212,1380,505
232,22980,24765,1380,385
233,23040,25307,1440,260
234,23040,26415,1440,487
235,23040,26203,1020,333
236,23100,25962,1500,346
237,23100,26823,1500,122
238,23100,24255,840,425
239,23100,25213,1500,402
240,23100,25208,1500,403
241,23100,25235,1500,608
242,23100,25295,0,16
243,23100,25700,1500,536
244,23100,24458,0,579
245,23100,24868,0,204
246,23100,26671,1500,109
247,23100,24687,1500,483
248,23160,25358,1140,373
249,23220,26577,1620,263
250,23220,24895,1560,362
251,23220,24587,1620,580
252,23220,26672,1200,196
253,23220,24999,0,252
254,23220,26023,1620,391
255,23220,25192,1320,17
256,23280,26378,1380,97
257,23280,25779,1680,465
258,23280,25920,1680,372
259,23280,25484,1260,251
260,23340,26716,1200,31
261,23340,27365,1560,328
262,23340,27225,1740,355
263,23340,25909,1740,195
