new_index,s_time,e_time,delta_time,old_index
0,22440,25913,0,89
1,22440,25646,0,90
2,22800,26068,0,4
3,22800,24938,0,44
4,22800,25600,0,78
5,22800,25742,0,65
6,22800,25713,0,55
7,22800,26517,0,56
8,22800,25600,0,78
9,22800,24801,0,83
10,22800,25889,0,36
11,22800,26685,0,74
12,22800,25071,0,39
13,22800,25940,0,17
14,22800,26107,0,6
15,22800,25292,0,69
16,22860,25536,0,80
17,22860,25694,0,59
18,22920,26009,120,36
19,22920,26126,480,90
20,22980,26697,180,56
21,23100,25459,0,26
22,23100,25132,0,94
23,23100,26615,0,88
24,23160,26428,360,4
25,23220,25712,420,69
26,23220,26360,420,17
27,23280,26222,480,65
28,23280,26548,480,4
29,23280,26080,480,78
30,23340,27057,540,56
31,23340,26016,480,80
32,23340,26813,900,89
33,23340,26253,540,55
34,23400,26905,0,32
35,23400,24971,0,48
36,23400,28673,0,1
37,23400,28623,0,0
38,23400,24875,0,42
39,23400,26142,0,51
40,23400,26217,0,16
41,23400,27285,600,74
42,23400,26142,0,51
43,23400,26121,0,11
44,23400,25551,0,68
45,23400,25962,0,79
46,23400,25398,0,9
47,23400,25817,0,37
48,23400,25863,0,2
49,23400,25992,0,31
50,23400,26254,0,66
51,23460,25960,0,24
52,23460,26767,660,6
53,23460,26076,0,67
54,23520,26726,1080,90
55,23520,26911,0,3
56,23580,25718,780,44
57,23640,26257,0,23
58,23640,26780,840,17
59,23640,26729,840,36
60,23640,27145,240,32
61,23700,28923,300,0
62,23700,25971,900,39
63,23700,27315,0,57
64,23700,26534,840,59
65,23760,26252,960,69
66,23760,27067,960,6
67,23760,26560,960,78
68,23760,27028,960,4
69,23820,27537,1020,56
70,23820,26496,960,80
71,23820,27435,120,57
72,23880,26793,1080,55
73,23880,26239,780,26
74,23880,26734,480,66
75,23940,26532,540,31
76,23940,25941,1140,83
77,24000,26742,600,51
78,24000,25769,0,45
79,24000,27451,0,5
80,24000,27885,1200,74
81,24000,27515,900,88
82,24000,27894,0,73
83,24000,26942,1200,65
84,24000,29223,600,0
85,24000,25594,0,71
86,24000,25475,600,42
87,24060,27200,1260,17
88,24120,26229,0,63
89,24120,27326,1680,90
90,24120,27280,0,64
91,24120,26937,720,16
92,24180,27269,1380,36
93,24180,27448,1380,4
94,24180,26796,720,67
95,24180,26980,1380,78
96,24180,27653,1740,89
97,24180,26672,1380,69
98,24240,27631,720,3
99,24240,26439,0,77
100,24240,27855,540,57
101,24240,26238,840,9
102,24240,26808,0,70
103,24240,26657,840,37
104,24240,26961,840,11
105,24300,26763,900,2
106,24300,27805,900,32
107,24300,26125,0,82
108,24300,26976,1440,80
109,24300,29573,900,1
110,24360,28077,1560,56
111,24480,27620,1680,17
112,24480,27422,1680,65
113,24480,27072,1080,31
114,24540,26649,420,63
115,24540,27453,1740,55
116,24540,27102,1140,79
117,24540,27040,1080,24
118,24540,28434,540,73
119,24600,26632,1500,94
120,24600,27686,0,84
121,24600,27198,0,50
122,24600,27434,1740,59
123,24600,28051,600,5
124,24600,28172,0,58
125,24600,27217,960,23
126,24600,27907,1800,6
127,24660,26798,1860,44
128,24660,27928,1860,4
129,24660,29883,1260,0
130,24720,27926,2280,90
131,24720,26489,720,45
132,24720,27212,1920,69
133,24720,28605,1920,74
134,24720,26195,1320,42
135,24720,27520,1920,78
136,24720,28335,1020,57
137,24780,27139,1680,26
138,24780,27051,1980,39
139,24780,28497,1980,56
140,24780,28295,1680,88
141,24840,27926,240,84
142,24840,27456,1380,67
143,24840,26838,1440,9
144,24840,28000,720,64
145,24900,27829,0,27
146,24900,27051,1500,68
147,24900,27099,660,77
148,24900,27468,660,70
149,24900,27754,1500,66
150,24900,28040,2100,17
151,24900,28405,1500,32
152,24960,27777,1560,16
153,24960,28049,2160,36
154,25020,27962,2220,65
155,25020,30293,1620,1
156,25020,28327,2220,6
157,25020,26591,1620,48
158,25080,27993,2280,55
159,25080,27661,0,22
160,25080,28974,1080,73
161,25080,27934,1680,66
162,25080,27756,2220,80
163,25140,26689,0,60
164,25140,27861,1740,11
165,25140,27732,1740,31
166,25140,27141,2340,83
167,25140,27786,0,7
168,25140,27557,1740,37
169,25140,27702,1740,79
170,25140,27940,2340,78
171,25140,26734,1140,71
172,25200,29356,0,30
173,25200,27692,2400,69
174,25200,28602,2400,17
175,25200,28599,2400,4
176,25200,27541,0,18
177,25200,27716,0,53
178,25200,26172,0,92
179,25200,26589,0,33
180,25200,26974,0,61
181,25200,27432,0,93
182,25200,28128,0,40
183,25200,27446,0,20
184,25200,27663,1800,2
185,25200,26720,0,86
186,25200,27880,0,19
187,25200,25669,0,91
188,25200,28888,0,46
189,25200,29099,0,47
190,25200,26722,0,85
191,25200,28864,1680,3
192,25200,25783,0,34
193,25200,25776,0,35
194,25200,28815,1500,57
195,25200,28688,1200,5
196,25200,29027,0,29
197,25200,26675,0,43
198,25200,26740,0,81
199,25260,28712,2820,90
200,25260,27991,0,41
201,25260,28977,2460,56
202,25260,28094,2400,59
203,25260,27828,1020,70
204,25320,28922,720,58
205,25320,29679,2520,74
206,25320,29196,2880,89
207,25320,27288,0,49
208,25320,30543,1920,0
209,25320,27429,1200,63
210,25380,28875,2280,26
211,25380,27628,2580,44
212,25380,28056,2520,80
213,25380,28340,1980,51
214,25380,27579,1140,77
215,25380,28615,2580,65
216,25380,28659,480,27
217,25440,28721,2640,36
218,25500,28780,1380,64
219,25500,29285,2100,32
220,25500,28399,2100,16
221,25560,28973,2760,6
222,25560,28052,2760,69
