new_index,s_time,e_time,delta_time,old_index
0,20400,22814,0,2
1,21600,25604,0,0
2,21600,23428,0,94
3,21600,24128,0,93
4,22200,24092,0,67
5,23400,24097,0,21
6,23400,25251,0,66
7,23400,24969,0,59
8,23880,26294,3480,2
9,24000,25188,0,10
10,24000,25706,0,84
11,24000,25765,0,58
12,24600,25354,0,86
13,24900,27069,0,22
14,25080,27608,3480,93
15,25080,26908,3480,94
16,25080,29084,3480,0
17,25200,28132,0,52
18,25200,27763,0,12
19,25200,26791,0,13
20,25200,27236,0,89
21,25200,27498,0,90
22,25200,28803,0,3
23,25200,26358,0,85
24,25200,27591,0,87
25,25200,27529,0,88
26,25200,26085,0,92
27,25200,26176,0,91
28,25200,26801,0,44
29,25200,26326,0,20
30,25200,27430,0,33
31,25200,27273,0,31
32,25200,27386,0,32
33,25200,28501,0,29
34,25200,26918,0,48
35,25200,28254,0,47
36,25200,28078,0,38
37,25200,26928,0,39
38,25200,28162,0,56
39,25200,27457,0,57
40,25200,27637,0,15
41,25200,27698,0,14
42,25200,26931,0,41
43,25200,28815,0,1
44,25200,26978,0,40
45,25200,27942,0,76
46,25200,27912,0,75
47,25200,27267,0,69
48,25200,27335,0,70
49,25200,26551,0,64
50,25200,28242,0,46
51,25200,26389,0,82
52,25200,26281,0,7
53,25200,28195,0,30
54,25200,26733,0,25
55,25200,27695,0,50
56,25200,26853,0,45
57,25200,28498,0,28
58,25200,26290,0,27
59,25200,26969,0,72
60,25200,26246,0,26
61,25200,28210,0,54
62,25200,25630,0,96
63,25200,28039,0,35
64,25200,26510,0,95
65,25200,26951,0,11
66,25200,27964,0,53
67,25200,28131,0,55
68,25200,27896,0,36
69,25200,28398,0,77
70,25200,26987,0,71
71,25200,27974,0,37
72,25200,28333,0,34
73,25260,26783,0,49
74,25260,28096,0,51
75,25500,27090,0,4
76,25500,27131,0,5
77,25680,27778,3480,67
78,25860,28117,660,57
79,25860,27647,660,71
80,25860,27629,660,72
81,25920,28055,720,70
82,25920,28882,720,56
83,25920,29218,720,28
84,25920,29221,720,29
85,25920,27987,720,69
86,25920,28962,720,46
87,25980,29034,780,47
88,25980,28166,780,32
89,25980,28210,780,33
90,26040,27768,840,39
91,26040,29035,840,30
92,26040,28113,840,31
93,26100,28939,900,35
94,26100,28978,900,38
95,26160,29293,960,34
96,26400,28857,0,79
97,26580,28647,1380,69
98,26580,28715,1380,70
99,26640,29414,1440,37
100,26640,29938,1440,28
101,26640,29682,1440,46
102,26640,29941,1440,29
103,26640,28897,1440,57
104,26640,28409,1440,72
105,26640,28427,1440,71
106,26640,29650,1440,54
107,26640,29602,1440,56
108,26700,28886,1500,32
109,26700,28930,1500,33
110,26700,29412,1500,75
111,26700,29442,1500,76
112,26700,29754,1500,47
113,26760,29456,1560,36
114,26880,28449,3480,59
115,26880,28731,3480,66
116,26880,27619,3480,21
117,26940,29013,1740,31
118,26940,28541,1740,44
119,26940,29935,1740,30
120,26940,29871,1740,55
121,27000,29839,1800,35
122,27000,28653,1800,45
123,27000,30007,0,9
124,27000,29498,1800,14
125,27000,28351,1800,64
126,27000,28689,0,65
127,27000,28728,1800,39
128,27000,28840,0,23
129,27000,28082,0,6
130,27000,30133,1800,34
131,27000,29495,1800,50
132,27000,29878,1800,38
133,27060,29896,1800,51
134,27120,30052,1920,52
135,27120,29557,1920,15
136,27180,28949,1980,72
137,27240,30004,2040,53
138,27300,29557,2100,57
139,27300,30601,2100,29
140,27360,30322,2160,56
141,27360,29427,2160,69
142,27360,30414,2160,47
143,27360,30658,2160,28
144,27360,29147,2160,71
145,27360,30402,2160,46
146,27360,29949,6960,2
147,27480,28682,3480,10
148,27480,29245,3480,58
149,27480,29288,3480,84
150,27540,29271,2340,41
151,27540,29770,2340,33
152,27540,29726,2340,32
153,27540,30738,2340,77
