new_index,s_time,e_time,delta_time,old_index
0,23400,26194,0,42
1,23400,26110,0,4
2,23400,28257,0,47
3,23400,28257,0,47
4,23400,27856,0,48
5,23400,28227,0,43
6,23400,27886,0,44
7,23400,27886,0,44
8,23400,27631,0,0
9,23400,24997,0,25
10,23400,25771,0,21
11,23400,25948,0,29
12,23400,25686,0,59
13,23400,25903,0,2
14,23400,26232,0,5
15,23400,26902,0,22
16,23460,26038,0,3
17,23460,25303,0,67
18,23460,27703,0,1
19,23460,27861,0,38
20,23520,26319,0,23
21,23520,25158,0,58
22,23580,26431,0,49
23,23580,25550,0,20
24,23700,26248,300,29
25,23700,28527,300,43
26,23700,28156,300,48
27,23820,28051,420,0
28,23880,28366,480,44
29,23880,28737,480,47
30,24000,25638,480,58
31,24000,25843,540,67
32,24000,28352,0,39
33,24120,26406,720,59
34,24180,28581,720,38
35,24240,26743,840,2
36,24240,27091,660,49
37,24300,28786,900,44
38,24300,28543,840,1
39,24300,28531,900,0
40,24300,27802,900,22
41,24300,26848,900,29
42,24300,25897,900,25
43,24300,26671,900,21
44,24300,29157,900,47
45,24360,29187,960,43
46,24360,28816,960,48
47,24420,27219,900,23
48,24480,26118,960,58
49,24540,26383,1080,67
50,24600,28223,0,9
51,24660,28903,1200,1
52,24660,27238,1200,3
53,24780,29011,1380,0
54,24840,27388,1440,29
55,24900,27186,1500,59
56,24900,29727,1500,43
57,24900,29356,1500,48
58,24960,27331,1560,21
59,24960,26930,1380,20
60,25020,29877,1620,47
61,25020,29506,1620,44
62,25140,27850,1740,4
63,25140,27972,1740,5
64,25140,27934,1740,42
65,25140,29383,1680,1
66,25200,28182,0,74
67,25200,27730,0,63
68,25200,29431,1800,0
69,25200,26797,1800,25
70,25200,30421,1800,43
71,25200,28837,1800,22
72,25200,29656,1800,48
73,25200,28114,0,53
74,25200,27703,1800,2
75,25200,28322,0,69
76,25200,26037,0,41
77,25200,26368,0,40
78,25200,29002,0,10
79,25200,26747,0,46
80,25200,26625,0,30
81,25200,28451,0,65
82,25260,27989,0,7
83,25260,27130,0,55
84,25260,28133,1800,67
85,25320,27834,1920,59
86,25320,29672,1320,39
87,25320,27392,0,36
88,25380,29182,1860,23
89,25440,27995,1920,58
90,25440,27098,0,28
91,25440,30691,2040,47
92,25440,29926,2040,44
93,25500,27871,2100,21
94,25500,29435,0,51
95,25500,30790,0,60
96,25560,30001,0,71
97,25560,28411,1980,49
98,25560,28170,2160,29
99,25740,29971,2340,0
100,25740,30005,2280,1
101,25740,31030,240,60
102,25740,28254,2340,59
103,25800,28782,600,74
104,25860,30318,2400,38
105,25860,30316,2460,48
106,25860,31081,2460,43
107,25860,31111,2460,47
108,25860,30346,2460,44
109,25980,27638,540,28
110,25980,28558,2520,3
111,26040,29849,0,73
112,26100,28973,2640,67
113,26100,29902,1500,9
114,26160,27757,2760,25
115,26160,29797,2760,22
116,26160,30601,600,71
117,26160,30391,2760,0
118,26220,30706,2820,44
119,26220,31471,2820,47
120,26220,30022,2700,23
121,26220,28591,2820,21
122,26220,28734,2820,59
123,26280,28810,1080,63
124,26340,29591,1140,65
125,26340,30605,2880,1
126,26340,28310,2760,20
127,26340,30796,2940,48
128,26340,30424,0,57
129,26340,31561,2940,43
130,26400,29418,0,66
131,26460,29013,0,27
132,26460,29311,2880,49
133,26460,28060,0,24
134,26460,29015,2940,58
135,26460,28330,1200,55
136,26460,28963,3060,2
137,26640,30992,2640,39
138,26640,29554,1440,53
139,26640,29250,3240,29
140,26700,28358,1260,28
141,26700,31158,3240,38
142,26700,28772,1380,36
143,26760,32011,3360,47
144,26760,29882,1560,69
145,26760,27597,1560,41
146,26760,29633,3300,67
147,26760,31246,3360,44
148,26760,27928,1560,40
149,26760,28730,3180,20
150,26760,31025,3300,1
151,26820,32110,1320,60
152,26880,29394,3480,59
153,26880,30682,1680,10
154,26880,29674,3480,42
155,26880,29590,3480,4
156,26880,29712,3480,5
157,26940,30749,900,73
158,26940,29311,3540,21
159,26940,29922,1740,74
160,27000,30018,600,66
161,27000,29555,3480,58
162,27000,31231,3600,0
163,27000,30637,3600,22
164,27000,28597,3600,25
165,27060,28607,1860,46
166,27120,32341,3720,43
167,27120,31576,3720,48
168,27180,29909,1920,7
169,27180,30982,3660,23
170,27240,31505,3780,1
171,27240,29793,780,27
172,27300,29757,0,17
173,27300,29647,0,34
174,27300,30318,900,66
175,27360,30233,3900,67
176,27360,28960,900,24
177,27360,31712,3360,39
178,27420,29017,4020,25
179,27480,31921,1920,71
180,27600,30851,2400,65
181,27600,32058,4140,38
182,27600,30130,2400,63
183,27600,29258,2160,28
184,27600,31402,3000,9
185,27600,30155,4080,58
186,27600,30210,4200,29
187,27600,30451,4020,49
188,27660,32881,4260,43
189,27660,31891,4260,0
190,27660,32116,4260,48
191,27840,29810,4260,20
192,27840,32326,4440,44
193,27840,33091,4440,47
194,27900,30414,4500,59
195,27900,30403,4500,2
