new_index,s_time,e_time,delta_time,old_index
0,0,2470,0,2063
1,0,3448,0,2376
2,0,2779,0,2037
3,0,4363,0,1399
4,0,3210,0,1438
5,0,5117,0,2326
6,0,3728,0,2011
7,0,2716,0,2038
8,0,3527,0,2375
9,0,429,0,2214
10,0,2596,0,1629
11,600,3888,0,1966
12,600,3888,0,1965
13,900,2912,0,789
14,1800,7192,0,2327
15,1800,6855,0,934
16,1800,5562,0,1236
17,1800,5023,0,2328
18,1800,6163,1800,1399
19,1800,5260,0,2010
20,1800,5055,0,1439
21,1800,4556,0,1531
22,3600,7127,3600,2375
23,3600,7328,3600,2011
24,3600,6379,3600,2037
25,3600,5133,0,2990
26,3600,7951,0,1400
27,3600,7963,3600,1399
28,3600,6316,3600,2038
29,4860,5289,4860,2214
30,5400,8848,5400,2376
31,5400,8860,3600,2010
32,5400,6933,1800,2990
33,5400,8623,3600,2328
34,5400,10792,3600,2327
35,7200,8733,3600,2990
36,7200,11551,3600,1400
37,7200,9979,7200,2037
38,7200,10928,7200,2011
39,7200,9916,7200,2038
40,9000,14392,7200,2327
41,9000,12527,9000,2375
42,9000,10533,5400,2990
43,9000,12223,0,2329
44,9000,12460,7200,2010
45,9000,13989,0,935
46,9720,10149,9720,2214
47,10800,14248,10800,2376
48,10800,15163,10800,1399
49,10800,14528,10800,2011
50,10800,12333,7200,2990
51,10800,13516,10800,2038
52,10800,15151,7200,1400
53,10800,14010,10800,1438
54,10800,13381,0,2079
55,10800,13547,0,2078
56,10800,13579,10800,2037
57,10800,14055,9000,1439
58,10800,16192,9000,2327
59,11700,14294,0,2041
60,12000,15728,12000,2011
61,12000,16351,8400,1400
62,12000,15061,0,2206
63,12000,15127,0,2207
64,12000,15288,11400,1966
65,12600,14133,9000,2990
66,12600,16963,12600,1399
67,12600,16060,10800,2010
68,12600,15855,10800,1439
69,12600,17717,12600,2326
70,12600,15347,1800,2078
71,12600,17589,3600,935
72,12600,15823,3600,2329
73,12600,15178,0,1662
74,12600,17992,10800,2327
75,12600,15810,12600,1438
76,12600,15181,1800,2079
77,12720,15464,0,1663
78,13200,16955,0,2246
79,13200,16928,13200,2011
80,13200,17551,9600,1400
81,13800,17023,12000,2328
82,13800,16861,1800,2206
83,13800,16927,1800,2207
84,13800,19192,12000,2327
85,14400,17147,3600,2078
86,14400,16785,0,2127
87,14400,17179,14400,2037
88,14400,17688,13800,1965
89,14400,17927,14400,2375
90,14400,18128,14400,2011
91,14400,16981,3600,2079
92,14400,17268,0,1530
93,14400,18751,10800,1400
94,14400,17655,12600,1439
95,14400,16488,0,1487
96,14400,18763,14400,1399
97,14400,15933,10800,2990
98,14400,16736,0,2126
99,14400,20221,0,921
100,14400,17610,14400,1438
101,14400,18379,0,2247
102,14400,19517,14400,2326
103,14400,17116,14400,2038
104,14400,16527,0,1486
105,14400,17600,0,1731
106,14400,17860,12600,2010
107,14580,15009,14580,2214
108,15000,18755,1800,2246
109,15000,17445,0,1870
110,15000,16612,0,781
111,15000,20392,13200,2327
112,15300,18945,0,942
113,15600,18727,3600,2207
114,15600,18239,0,405
115,15600,17727,1200,1486
116,15600,19060,13800,2010
117,15600,17681,0,406
118,15600,17978,0,1687
119,15600,19951,12000,1400
120,15600,17843,0,1688
121,15600,17688,1200,1487
122,15600,19328,15600,2011
123,15600,17908,0,1689
124,15600,18661,3600,2206
125,16200,21317,16200,2326
126,16200,21255,14400,934
127,16200,21592,14400,2327
128,16200,18781,5400,2079
129,16200,18916,16200,2038
130,16200,20179,1800,2247
131,16200,19423,7200,2329
132,16200,19410,16200,1438
133,16200,18778,3600,1662
134,16200,19488,15600,1965
135,16200,19455,14400,1439
136,16200,18947,5400,2078
137,16200,21199,0,924
138,16200,20563,16200,1399
139,16200,18979,16200,2037
140,16320,19064,3600,1663
141,16500,18581,900,406
142,16500,18878,900,1687
143,16500,18808,900,1689
144,16500,19139,900,405
145,16560,19154,4860,2041
146,16800,20260,15000,2010
147,16800,19245,1800,1870
148,16800,18888,2400,1487
149,16800,19556,15000,1531
150,16800,19439,1200,405
151,16800,21151,13200,1400
152,16800,18927,2400,1486
153,16800,20528,16800,2011
154,16800,18881,1200,406
155,16800,20555,3600,2246
156,16800,21000,0,2948
157,17100,22562,0,1059
158,17100,17707,0,2333
159,17400,19708,1800,1689
160,17400,20461,5400,2206
161,17400,19856,0,1869
162,17400,21929,0,1349
163,17400,19481,1800,406
164,17400,18768,0,1951
165,17400,22399,1200,924
166,17400,22498,0,2582
167,17400,20610,0,413
168,17400,20039,1800,405
169,17400,20623,15600,2328
170,17400,19907,0,410
171,17400,22835,0,2573
172,17400,19778,1800,1687
173,17400,22792,15600,2327
174,17400,20527,5400,2207
175,17700,20339,2100,405
176,17700,19781,2100,406
177,18000,22345,0,1996
178,18000,23190,0,1938
179,18000,21298,0,508
180,18000,21194,0,2238
181,18000,24919,0,2813
182,18000,19875,0,1862
183,18000,23117,18000,2326
184,18000,20687,0,1692
185,18000,22826,0,1592
186,18000,20555,0,1524
187,18000,21305,0,137
188,18000,20986,0,1740
189,18000,21007,0,743
190,18000,20433,0,1090
191,18000,20581,7200,2079
192,18000,21001,0,2635
193,18000,22609,0,2325
194,18000,23115,0,1288
195,18000,20342,0,1988
196,18000,21728,18000,2011
197,18000,20088,3600,1487
198,18000,19414,0,780
199,18000,20070,0,1137
200,18000,21123,0,2043
201,18000,20131,0,1961
202,18000,19756,0,1759
203,18000,20606,0,1964
204,18000,20467,0,1963
205,18000,19123,0,2136
206,18000,22351,14400,1400
207,18000,21210,0,2413
208,18000,20127,3600,1486
209,18000,20830,0,2318
210,18000,21332,0,2070
211,18000,22590,0,1612
212,18000,19763,0,1897
213,18000,19433,0,1781
214,18000,21210,18000,1438
215,18000,23303,0,2403
216,18000,23069,0,2796
217,18000,19161,0,2137
218,18000,20396,0,2099
219,18000,22363,18000,1399
220,18000,20066,0,1476
221,18000,20747,7200,2078
222,18000,19687,0,1447
223,18000,23385,0,1937
224,18000,20615,0,1394
225,18000,23731,0,1161
226,18000,20041,0,1478
227,18000,20053,0,1737
228,18000,21460,16200,2010
229,18000,22807,0,1983
230,18000,21166,0,2321
231,18000,20868,3600,1530
