new_index,s_time,e_time,delta_time,old_index
0,20100,22112,0,41
1,20400,26134,0,263
2,20400,25686,0,264
3,20400,24050,0,2
4,20700,24315,0,312
5,20700,22058,0,43
6,20700,23117,0,204
7,21000,22749,0,310
8,21000,23612,0,303
9,21000,23397,0,307
10,21000,22811,0,298
11,21000,24702,0,231
12,21000,26764,0,33
13,21000,23512,0,364
14,21000,24846,0,134
15,21000,24706,0,133
16,21000,25005,0,352
17,21000,24611,0,150
18,21000,24136,0,258
19,21000,22916,0,160
20,21000,26677,0,255
21,21000,23821,0,262
22,21000,26806,0,256
23,21120,24294,0,257
24,21300,25093,0,156
25,21300,23312,1200,41
26,21300,28081,0,254
27,21600,24108,0,122
28,21600,23185,0,391
29,21600,23106,0,390
30,21600,24967,0,106
31,21600,22880,0,44
32,21600,23617,0,379
33,21600,22762,0,387
34,21600,26657,0,173
35,21600,24756,0,347
36,21600,23545,0,226
37,21600,23742,0,368
38,21600,24350,0,378
39,21600,22609,0,381
40,21600,23292,0,227
41,21600,23596,0,389
42,21600,23807,0,388
43,21600,24472,0,301
44,21600,24884,0,315
45,21600,24503,0,63
46,21600,24313,0,224
47,21600,23519,0,151
48,21600,23308,0,146
49,21600,22460,0,58
50,21600,24240,0,225
51,21600,23513,0,161
52,21600,22849,0,136
53,21600,26514,0,166
54,21600,22567,0,239
55,21600,24001,0,366
56,21600,23208,0,152
57,21600,23233,0,153
58,21600,24264,0,105
59,21600,25217,0,127
60,21600,25158,0,71
61,21600,26392,0,0
62,21600,26542,0,1
63,21600,26140,0,243
64,21600,25550,0,118
65,21600,24162,0,228
66,21600,25765,0,244
67,21600,23895,0,229
68,21600,24655,0,130
69,21600,24160,0,302
70,21600,24254,0,202
71,21600,22717,0,223
72,21600,24763,0,13
73,21600,25590,0,192
74,21600,24860,0,90
75,21600,24712,0,194
76,21600,24677,0,140
77,21600,24466,0,261
78,21600,23259,0,123
79,21600,24896,0,14
80,21600,24202,0,113
81,21600,26285,0,233
82,21600,24418,0,385
83,21600,25329,0,165
84,21600,25276,0,164
85,21600,23985,0,282
86,21600,25689,0,35
87,21600,23058,0,291
88,21600,25239,0,157
89,21600,25463,0,89
90,21600,24490,0,186
91,21600,24505,0,101
92,21660,23304,0,327
93,21660,25788,0,16
94,21660,25753,0,36
95,21660,25309,0,266
96,21660,23960,0,203
97,21660,24695,0,10
98,21660,25794,0,34
99,21660,22782,0,296
100,21660,22895,0,294
101,21660,29028,0,46
102,21660,24773,0,8
103,21660,25524,0,117
