new_index,s_time,e_time,delta_time,old_index
0,20700,26509,0,305
1,20700,26371,0,304
2,20700,26967,0,277
3,20700,23654,0,274
4,20760,23714,60,274
5,21000,24437,0,115
6,21000,26253,0,371
7,21000,24666,0,301
8,21300,24254,600,274
9,21540,24977,540,115
10,21600,26727,0,302
11,21600,24091,0,33
12,21600,25937,0,123
13,21600,25762,0,122
14,21600,27161,0,46
15,21600,25967,0,300
16,21600,25175,0,221
17,21600,22748,0,463
18,21600,23278,0,287
19,21600,23515,0,309
20,21600,27071,0,44
21,21600,24491,0,93
22,21600,24228,0,280
23,21600,26561,0,66
24,21600,24482,0,227
25,21600,23641,0,56
26,21600,26527,0,65
27,21600,25092,0,291
28,21600,24985,0,292
29,21600,25367,0,303
30,21600,23480,0,464
31,21600,23051,0,53
32,21600,25564,0,10
33,21600,24708,0,281
34,21600,25564,0,349
35,21600,27154,0,73
36,21600,25029,0,242
37,21600,24601,0,117
38,21600,24521,0,334
39,21600,24530,0,116
40,21600,26878,0,11
41,21600,24888,0,243
42,21600,27867,900,277
43,21600,25496,0,332
44,21600,23933,0,434
45,21600,24465,0,318
46,21600,26167,0,370
47,21600,25857,0,298
48,21600,25835,0,297
49,21600,24322,0,411
50,21660,26896,0,74
51,21660,22965,0,231
52,21660,24196,0,319
53,21720,27007,0,45
54,21840,27649,1140,305
55,21840,27511,1140,304
56,21840,26767,240,65
57,21900,26831,0,278
58,21900,24893,0,273
59,21900,24765,300,318
60,22020,24556,360,319
61,22020,24974,1320,274
62,22080,27551,480,44
63,22140,26477,540,123
64,22140,25005,540,318
65,22140,27393,1140,371
66,22140,25715,540,221
67,22200,24526,0,156
68,22200,26614,0,22
69,22200,24809,0,24
70,22200,23732,0,241
71,22200,26896,0,378
72,22200,24176,0,39
73,22200,24765,0,458
74,22200,24241,600,56
75,22200,23665,0,245
76,22200,23080,0,258
77,22200,28094,0,368
78,22200,26366,0,324
79,22200,23034,0,399
80,22200,25338,0,260
81,22200,28467,1500,277
82,22200,27546,0,42
83,22200,24882,0,201
84,22200,25149,0,275
85,22200,28504,0,276
86,22260,24175,660,309
87,22260,27426,0,360
88,22260,25368,660,281
89,22260,25645,660,292
90,22320,28151,0,369
91,22320,24856,660,319
92,22380,27307,780,65
93,22380,25872,780,291
94,22380,26947,780,370
95,22440,26106,1440,301
96,22440,27401,840,66
97,22440,25322,840,227
98,22500,25929,900,242
99,22500,28054,900,73
100,22500,23643,0,462
101,22500,25365,900,318
102,22500,25421,900,334
103,22500,27254,0,379
104,22500,24378,0,465
105,22560,27847,840,45
106,22560,25848,960,243
107,22560,24238,960,287
108,22620,26516,1020,332
109,22680,25216,1020,319
110,22740,28211,1140,44
111,22740,27077,1140,123
112,22740,26315,1140,221
113,22800,25873,0,21
114,22800,23932,0,439
115,22800,25691,1200,93
116,22800,24842,0,330
117,22800,23742,0,491
118,22800,25792,0,335
119,22800,25291,1200,33
120,22800,25991,0,285
121,22800,26224,0,373
122,22800,28036,1140,74
123,22800,23494,0,474
124,22800,25222,0,293
125,22800,25955,0,118
126,22800,25841,0,119
127,22800,25632,0,188
128,22800,26690,0,294
129,22800,25653,0,189
130,22800,26115,0,343
131,22800,26354,0,286
132,22800,25214,0,322
133,22800,26835,0,333
134,22800,25025,0,176
135,22800,27035,1200,297
136,22800,23492,0,395
137,22800,25428,1200,280
138,22800,26578,0,220
