new_index,s_time,e_time,delta_time,old_index
0,17400,20694,0,279
1,18000,19636,0,1491
2,18000,20355,0,1489
3,18000,21294,600,279
4,18000,24106,0,164
5,18240,24346,240,164
6,18600,22245,0,277
7,18600,21894,1200,279
8,18600,21488,0,753
9,18600,24423,0,244
10,18600,23284,0,1192
11,18600,22039,0,889
12,18600,24253,0,906
13,18600,21315,0,266
14,18600,24618,0,877
15,18660,22447,0,792
16,18660,23455,0,13
17,18720,24826,720,164
18,18840,20476,840,1491
19,18900,22545,300,277
20,18900,23715,0,1443
21,18900,23328,0,246
22,18900,22473,0,921
23,18900,22624,0,403
24,18960,21335,0,776
25,18960,22908,0,896
26,18960,24081,0,737
27,19020,25190,0,117
28,19080,23895,180,1443
29,19080,21968,480,753
30,19200,23177,0,798
31,19200,21356,0,1488
32,19200,26586,0,1147
33,19200,22494,1800,279
34,19200,23037,0,1356
35,19200,22704,0,1355
36,19200,24284,0,1252
37,19200,23622,0,125
38,19200,23045,0,1452
39,19200,23444,0,586
40,19200,21487,0,1102
41,19200,23461,0,258
42,19200,24598,0,865
43,19200,20968,0,1490
44,19200,24343,0,281
45,19200,22065,0,1210
46,19200,26781,0,490
47,19200,24103,0,934
48,19260,24190,0,469
49,19260,22578,0,1414
50,19260,23998,0,568
51,19320,25426,1320,164
52,19320,21978,0,898
53,19380,23225,0,275
54,19380,25203,780,244
55,19440,23388,480,896
56,19440,23227,780,792
57,19440,22879,840,889
58,19500,21171,0,416
59,19500,22997,0,1007
60,19500,22889,0,270
61,19500,23145,900,277
62,19500,22520,0,1153
63,19500,27081,300,490
64,19500,24643,300,281
65,19500,24295,840,13
66,19500,23040,0,716
67,19500,21924,0,925
68,19500,23131,0,794
69,19500,22997,0,466
70,19560,22448,960,753
71,19560,22108,0,891
72,19560,23405,180,275
73,19680,23404,780,403
74,19740,24168,840,246
75,19740,25138,540,865
76,19740,21376,1740,1491
77,19740,22095,1740,1489
78,19800,23268,0,1396
79,19800,22030,0,733
80,19800,23400,0,463
81,19800,23342,0,769
82,19800,25993,0,909
83,19800,23971,0,573
84,19800,24821,0,971
85,19800,24921,840,737
86,19800,23709,0,478
87,19800,26138,0,85
88,19800,24703,600,934
89,19800,25189,0,202
90,19800,25094,0,786
91,19800,23437,0,462
92,19800,24065,0,7
93,19800,25063,0,1352
94,19800,24692,0,1094
95,19800,25079,0,170
96,19800,23148,0,306
97,19800,23879,0,633
98,19800,24114,0,773
99,19800,23557,0,391
100,19800,23557,0,344
101,19800,23373,900,921
102,19800,24357,0,1026
103,19800,24526,0,162
104,19800,25221,0,1348
105,19800,22030,0,1402
106,19800,23474,0,173
107,19800,24647,0,269
108,19800,23808,0,1354
109,19800,22112,0,917
110,19800,24484,1200,1192
111,19800,23891,0,505
112,19800,23824,0,240
113,19800,23989,0,26
114,19800,24730,540,469
115,19800,23964,0,471
116,19800,25623,1200,244
117,19800,24956,0,817
118,19800,23689,0,1
119,19800,25305,0,28
120,19800,23266,0,859
121,19800,24405,0,821
122,19800,27186,600,1147
123,19800,23347,0,989
124,19800,21674,0,1339
125,19800,26580,0,166
126,19800,23737,0,557
127,19800,26735,0,1347
128,19800,25203,0,860
129,19800,24313,0,1406
130,19860,23154,2460,279
131,19860,23267,0,605
132,19860,24523,0,811
133,19860,22060,0,1265
134,19860,24691,0,911
135,19860,24406,0,952
136,19860,25041,0,1169
137,19860,27538,0,530
138,19860,24157,0,1405
139,19860,23440,0,840
140,19860,23557,0,1109
141,19860,24908,0,260
142,19860,23840,0,114
143,19860,24953,0,395
144,19920,24996,0,520
145,19920,23868,960,896
146,19920,24181,720,258
147,19980,22868,1380,753
