new_index,s_time,e_time,delta_time,old_index
0,21600,25540,0,228
1,21600,25397,0,8
2,21600,27347,0,121
3,21600,24965,0,227
4,21600,26813,0,69
5,21600,27235,0,44
6,21600,27136,0,105
7,21600,26401,0,45
8,21600,25574,0,111
9,21600,24935,0,65
10,21600,26819,0,207
11,21600,23528,0,31
12,21600,24547,0,186
13,21600,25365,0,229
14,21600,24988,0,226
15,21600,25511,0,189
16,21600,25672,0,41
17,21600,26962,0,122
18,22200,25591,0,112
19,22200,26216,0,199
20,22200,26031,0,203
21,22200,27919,0,197
22,22200,26169,0,204
23,22200,25387,0,80
24,22800,28616,0,249
25,22800,31218,0,103
26,22800,26581,0,22
27,22800,27326,0,251
28,22800,23826,0,46
29,22800,28647,0,106
30,22800,25778,0,107
31,22800,25470,0,132
32,22800,25890,0,185
33,22800,28657,0,198
34,22800,25501,0,143
35,22800,24902,0,32
36,22800,28252,0,30
37,22800,26831,0,200
38,22800,26568,0,9
39,23100,28462,1500,122
40,23100,28847,1500,121
41,23400,25553,0,159
42,23400,27927,0,201
43,23400,27228,0,23
44,23400,27311,0,195
45,23400,26744,0,108
46,23400,26966,0,272
47,23400,28677,0,70
48,23400,28642,0,208
49,23400,26023,0,10
50,23400,27760,0,202
51,23400,26735,1800,65
52,24000,25275,0,145
53,24000,29387,0,29
54,24000,28745,0,137
55,24000,28414,0,138
56,24000,27055,0,56
57,24000,27187,0,55
58,24600,27943,0,243
59,24600,28570,0,187
60,24600,26634,0,160
61,24600,30094,0,191
62,24600,29962,3000,122
63,24600,27569,0,244
64,24600,30347,3000,121
65,24600,27227,0,144
66,24600,29331,0,133
67,24600,29303,0,240
68,24600,28719,0,262
69,24600,29479,0,57
70,24600,28788,0,4
71,24600,29354,0,58
72,24600,32396,0,125
73,24600,28851,0,5
74,24900,28699,0,24
75,24900,27914,0,42
76,24900,33533,0,127
77,25200,28268,0,79
78,25200,28127,0,255
79,25200,25994,0,269
80,25200,30340,0,263
81,25200,29216,3000,199
82,25200,26651,0,28
83,25200,26535,0,253
84,25200,27309,0,213
85,25200,27374,0,60
86,25200,33486,0,104
87,25200,28395,0,120
88,25200,31298,0,142
89,25200,27253,0,49
90,25200,28997,0,3
91,25200,28257,0,258
92,25200,27923,0,131
93,25200,26149,0,257
94,25200,27558,1800,159
95,25200,27183,0,94
96,25200,27037,0,87
97,25200,28535,3600,65
98,25200,28223,0,100
99,25200,26627,0,93
100,25500,27623,0,254
101,25620,28955,4020,65
102,25800,29831,3000,200
103,25800,31768,0,193
104,26040,29375,4440,65
105,26100,29964,0,25
106,26100,27153,0,264
107,26100,31513,4500,122
