new_index,s_time,e_time,delta_time,old_index
0,18000,21049,0,587
1,18240,21289,240,587
2,18480,21529,480,587
3,18720,21769,720,587
4,18960,22009,960,587
5,19200,22249,1200,587
6,19200,24457,0,360
7,19260,24658,0,266
8,19500,21115,0,393
9,19500,21067,0,446
10,19500,26941,0,615
11,19800,28887,0,220
12,19800,26104,0,504
13,19800,26265,0,597
14,19800,25294,0,598
15,19800,22849,1800,587
16,19800,26318,0,525
17,19800,28055,0,23
18,19860,27301,360,615
19,20100,21245,0,593
20,20100,21232,0,591
21,20100,21216,0,589
22,20100,26565,300,597
23,20100,25498,840,266
24,20100,29187,300,220
25,20100,26404,300,504
26,20100,25232,0,568
27,20100,21792,0,76
28,20220,27661,720,615
29,20400,25200,0,599
30,20400,27375,0,616
31,20400,22701,0,299
32,20400,22701,0,610
33,20400,23449,2400,587
34,20400,25114,0,433
35,20400,22888,0,453
36,20400,25348,0,562
37,20400,25657,1200,360
38,20400,26951,0,505
39,20400,24005,0,638
40,20640,27390,0,281
41,20700,21564,0,408
42,20700,28955,900,23
43,20700,23082,0,1056
44,20700,26722,0,596
45,20700,27056,0,595
46,20760,28201,1260,615
47,20880,29967,1080,220
48,20940,27244,1140,504
49,21000,25683,0,548
50,21000,27293,0,1029
51,21000,26513,0,625
52,21000,26449,0,461
53,21000,24823,0,1007
54,21000,23935,0,1006
55,21000,26641,0,259
56,21000,26517,0,260
57,21000,26216,0,270
58,21000,26132,900,568
59,21000,26444,0,269
60,21000,28151,0,831
61,21000,25512,0,825
62,21000,25912,0,483
63,21000,26406,0,460
64,21000,25072,0,806
65,21000,25455,0,804
66,21000,26398,1740,266
67,21000,25600,0,434
68,21000,24362,0,683
69,21000,24626,0,653
70,21000,26153,0,526
71,21000,26456,0,341
72,21000,24531,0,690
73,21000,24035,0,889
74,21000,24120,0,699
75,21000,24236,0,496
76,21000,23438,0,322
77,21000,28022,0,343
78,21000,24276,0,540
79,21000,26410,0,340
80,21000,27264,0,49
81,21000,25072,0,495
82,21000,24145,0,888
83,21000,25434,0,442
84,21000,27519,0,245
85,21000,23180,0,1043
86,21000,27224,0,246
87,21000,24702,0,1034
88,21000,23465,0,1032
89,21000,23232,0,1047
90,21000,24783,0,211
91,21060,25678,0,812
92,21060,26637,0,134
93,21060,28185,0,342
94,21060,28035,660,616
95,21180,25692,180,825
96,21180,26686,0,824
97,21240,26358,0,569
98,21240,27791,840,505
99,21240,27990,600,281
100,21240,26188,840,562
101,21240,24771,240,690
102,21300,25054,0,538
103,21300,25268,0,390
104,21300,29233,0,22
105,21300,23788,900,453
106,21300,25639,0,172
107,21300,25021,0,767
108,21300,28001,0,565
109,21300,25999,0,845
110,21300,23931,0,1053
111,21300,29815,0,221
112,21300,24324,0,473
113,21300,25337,0,666
114,21300,26018,0,482
115,21300,29555,1500,23
116,21300,26047,0,813
117,21300,26014,900,433
118,21300,25142,0,839
119,21300,25030,0,469
120,21300,24214,0,1033
121,21300,25745,0,514
122,21300,23796,0,138
123,21300,26178,0,1010
124,21300,26145,0,515
125,21360,23226,0,936
126,21360,28801,1860,615
