new_index,s_time,e_time,delta_time,old_index
0,18720,22375,0,73
1,19200,20024,0,104
2,19200,26057,0,34
3,19200,20023,0,103
4,19500,20812,0,201
5,19500,24104,0,33
6,19680,23335,960,73
7,19800,25714,0,83
8,19800,23715,0,14
9,19800,23799,0,15
10,19800,24823,0,21
11,19800,25791,0,109
12,19800,25845,0,57
13,19800,25891,0,58
14,19860,21598,0,18
15,19860,23540,0,74
16,19860,24755,0,124
17,19920,24892,0,110
18,20100,26092,0,60
19,20100,26354,0,59
20,20160,27017,960,34
21,20400,26075,0,38
22,20400,24136,0,7
23,20400,25011,0,116
24,20400,26311,0,144
25,20400,25696,0,81
26,20400,25664,0,19
27,20400,26100,0,84
28,20400,25269,0,47
29,20400,22282,0,9
30,20400,24906,0,41
31,20460,25983,0,39
32,20460,21698,0,200
33,20520,25495,0,199
34,20520,24175,1800,73
35,20580,24583,0,36
36,20640,26631,840,109
37,20700,26791,900,58
38,20700,26079,0,193
39,20700,25204,0,198
40,20700,25672,780,110
41,20700,25304,1200,33
42,20700,26246,0,194
43,20700,25791,0,22
44,20700,22354,0,159
45,20700,26080,0,3
46,20700,24223,0,50
47,20700,26745,900,57
48,20760,26197,0,195
49,20760,22456,0,157
50,20820,26495,420,38
51,20940,26854,1140,83
52,20940,22252,1440,201
53,20940,24939,1140,15
54,20940,25835,1080,124
55,21000,23378,0,71
56,21000,24222,0,37
57,21000,25057,0,115
58,21000,25871,0,29
59,21000,24915,1200,14
60,21000,24632,0,131
61,21000,25173,0,209
62,21000,23538,0,64
63,21060,22752,0,17
64,21060,24740,1200,74
65,21060,27917,1860,34
66,21060,25113,0,208
67,21180,24279,0,183
68,21240,27232,1140,60
69,21300,27554,1200,59
70,21300,23038,1440,18
71,21300,26438,0,27
72,21300,24912,0,16
73,21300,25911,900,116
74,21300,22893,0,222
75,21420,26988,0,28
76,21480,25135,2760,73
77,21540,25276,1140,7
78,21540,26919,840,193
79,21600,25917,0,173
80,21600,25785,0,108
81,21600,27591,1800,109
82,21600,25594,0,107
83,21600,25506,0,61
84,21600,23907,0,213
85,21600,25059,0,220
86,21600,23832,0,53
87,21600,23979,0,212
88,21600,27498,0,128
89,21600,26575,1080,199
90,21600,26572,1680,110
91,21600,24183,0,99
92,21600,24180,0,44
93,21600,25559,0,66
94,21600,25252,0,30
95,21600,26927,0,20
96,21600,26153,0,26
97,21600,22490,0,153
98,21600,25374,0,31
99,21600,27379,0,49
100,21600,26337,0,79
101,21600,26652,0,80
102,21600,26344,0,88
103,21600,28020,0,25
104,21660,25704,0,219
105,21660,24375,0,132
106,21660,22714,0,156
107,21660,27734,0,127
108,21660,26264,2160,33
109,21660,26490,0,164
110,21660,26487,0,165
111,21660,22701,0,228
112,21660,26413,0,169
113,21660,23539,0,8
114,21660,24528,0,11
